time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Rollt,Pitcht,Yawt,Rollc,Pitchc,Yawc,ux,uy,Forcex,Forcey,Forcez
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,-0.000000,-0.000000,-0.000000,-0.003574,0.005135,0.594162,0.016615,-0.005393,0.022047,0.000000,0.000000,-0.000315,-0.000393,-0.000178,-0.000375,0.434723,0.169493,0.000000,0.000000,0.000000
1.010000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,0.000000,-0.000000,-0.000000,-0.003397,0.005088,0.594441,0.015773,-0.004821,0.037232,0.000000,0.000000,-0.000315,-0.000460,0.000003,-0.000457,0.442846,0.171823,0.000000,0.000000,0.000000
1.020000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,-0.000000,0.000000,-0.000000,-0.003226,0.005045,0.594877,0.015262,-0.003940,0.049028,0.000000,0.000000,-0.000315,-0.000577,0.000245,-0.000539,0.448929,0.173417,0.000000,0.000000,0.000000
1.030000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,-0.000000,0.000000,-0.000000,-0.003061,0.005009,0.595427,0.014935,-0.002873,0.056471,0.000000,0.000000,-0.000315,-0.000723,0.000531,-0.000620,0.452032,0.174061,0.000000,0.000000,0.000000
1.040000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,-0.000000,-0.000000,-0.000000,-0.002902,0.004980,0.596043,0.014495,-0.001739,0.059005,0.000000,0.000000,-0.000315,-0.000875,0.000836,-0.000702,0.451669,0.173681,0.000000,0.000000,0.000000
1.050000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,-0.000000,-0.000000,-0.000000,-0.002755,0.004961,0.596666,0.013645,-0.000630,0.056575,0.000000,0.000000,-0.000315,-0.001004,0.001129,-0.000782,0.447888,0.172347,0.000000,0.000000,0.000000
1.060000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,-0.000000,-0.000000,-0.000000,-0.002621,0.004950,0.597251,0.012575,0.000290,0.050003,0.000000,0.000000,-0.000315,-0.001088,0.001373,-0.000859,0.441266,0.170257,0.000000,0.000000,0.000000
1.070000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,-0.000000,-0.000000,-0.000000,-0.002504,0.004947,0.597753,0.011222,0.000964,0.039778,0.000000,0.000000,-0.000315,-0.001108,0.001547,-0.000930,0.432793,0.167690,0.000000,0.000000,0.000000
1.080000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,-0.000000,-0.000000,-0.000000,-0.002408,0.004951,0.598133,0.009397,0.001395,0.026749,0.000000,0.000000,-0.000315,-0.001060,0.001647,-0.000992,0.423614,0.164386,0.000000,0.000000,0.000000
1.090000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,0.000000,0.000000,-0.000000,-0.002336,0.004960,0.598365,0.007248,0.001491,0.011929,0.000000,0.000000,-0.000315,-0.000950,0.001664,-0.001046,0.414810,0.161250,0.000000,0.000000,0.000000
