time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000448,0.000000,0.000000,-0.000000,0.593700,0.000000,-0.000000,-0.000000,-0.003238,0.002806,0.593709,0.008379,-0.005664,0.022396,0.401545,0.401545,-0.395455,-0.395455,0.397700,0.389631,-0.388496,-0.389762,0.234832,-0.234832,0.234832,-0.234832,0.230309,-0.232793,0.234224,-0.237482,0.431158,0.169865
1.010000,0.014000,-0.000006,0.593700,2.000000,-0.000860,0.000000,-0.000416,0.600000,0.000112,0.000002,0.593700,0.028195,0.000376,-0.000000,-0.003134,0.002755,0.593980,0.008686,-0.005612,0.037448,0.401545,0.401545,-0.395455,-0.395455,0.397850,0.389732,-0.388774,-0.390784,0.234832,-0.234832,0.234832,-0.234832,0.230326,-0.232708,0.234283,-0.237174,0.439450,0.172196
1.020000,0.034000,-0.000014,0.593700,2.000000,-0.000644,0.000000,-0.000288,0.600000,0.000579,0.000007,0.593700,0.065555,0.000686,-0.000056,-0.003017,0.002687,0.594399,0.010819,-0.007818,0.047811,0.401546,0.401546,-0.395456,-0.395456,0.397919,0.389945,-0.388927,-0.392032,0.234832,-0.234832,0.234832,-0.234832,0.230406,-0.232608,0.234360,-0.236845,0.445641,0.173794
1.030000,0.054000,-0.000018,0.593700,2.000000,-0.000230,0.000000,-0.000062,0.600000,0.001432,0.000015,0.593698,0.105305,0.001028,-0.000330,-0.002850,0.002590,0.594920,0.018305,-0.011689,0.053514,0.401561,0.401561,-0.395472,-0.395472,0.397722,0.390228,-0.388852,-0.393650,0.234832,-0.234832,0.234832,-0.234832,0.230477,-0.232522,0.234430,-0.236615,0.448748,0.174427
1.040000,0.074000,-0.000018,0.593700,2.000000,0.000381,0.000000,0.000263,0.600000,0.002685,0.000028,0.593693,0.145306,0.001505,-0.000619,-0.002565,0.002452,0.595486,0.030607,-0.016818,0.054312,0.401602,0.401602,-0.395512,-0.395512,0.397029,0.390428,-0.388557,-0.395786,0.234832,-0.234832,0.234832,-0.234832,0.230427,-0.232452,0.234488,-0.236632,0.448387,0.173983
1.050000,0.094000,-0.000010,0.593700,2.000000,0.001190,0.000000,0.000688,0.600000,0.004338,0.000046,0.593686,0.185306,0.002143,-0.000924,-0.002139,0.002268,0.596040,0.043973,-0.022525,0.050023,0.401667,0.401667,-0.395578,-0.395578,0.395913,0.390543,-0.388002,-0.398243,0.234832,-0.234832,0.234832,-0.234832,0.230144,-0.232388,0.234551,-0.237021,0.444574,0.172499
1.060000,0.114000,0.000007,0.593700,1.999999,0.002200,0.000000,0.001213,0.600000,0.006391,0.000071,0.593675,0.225307,0.002936,-0.001278,-0.001562,0.002055,0.596546,0.060376,-0.026621,0.043009,0.401762,0.401762,-0.395672,-0.395672,0.394470,0.390420,-0.387148,-0.400804,0.234832,-0.234832,0.234832,-0.234832,0.229570,-0.232303,0.234657,-0.237859,0.436605,0.170116
1.070000,0.134000,0.000035,0.593700,1.999997,0.003414,0.000000,0.001840,0.600000,0.008844,0.000105,0.593660,0.265308,0.003889,-0.001701,-0.000823,0.001753,0.596908,0.075478,-0.036595,0.027725,0.401891,0.401891,-0.395802,-0.395802,0.392968,0.390124,-0.386061,-0.403078,0.234832,-0.234832,0.234832,-0.234832,0.228882,-0.232017,0.234978,-0.239014,0.426986,0.167232
1.080000,0.154000,0.000076,0.593700,1.999994,0.004833,0.000000,0.002571,0.600000,0.011697,0.000150,0.593640,0.305308,0.004996,-0.002192,0.000806,0.001315,0.597113,0.141259,-0.047830,0.015596,0.402064,0.402064,-0.395975,-0.395975,0.391522,0.389834,-0.385005,-0.404977,0.234832,-0.234832,0.234832,-0.234832,0.227754,-0.231778,0.235388,-0.240722,0.417298,0.164193
1.090000,0.174000,0.000132,0.593700,1.999989,0.006463,0.000000,0.003407,0.600000,0.014950,0.000206,0.593616,0.345309,0.006243,-0.002748,0.002031,0.000935,0.597267,0.128408,-0.049522,0.004670,0.402289,0.402289,-0.396199,-0.396199,0.390217,0.389042,-0.384294,-0.406363,0.234832,-0.234832,0.234832,-0.234832,0.226277,-0.231399,0.235864,-0.242958,0.407313,0.160924
