time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,1.570674,0.000000,0.000000,0.000000,0.593700,-0.000000,0.000000,-0.000000,-0.000870,-0.001778,0.596425,0.001110,0.000057,0.012931,0.401545,0.401545,-0.395455,-0.395455,0.405294,0.404427,-0.390296,-0.390572,0.234832,-0.234832,0.234832,-0.234832,0.233302,-0.235899,0.233604,-0.236365,0.392809,0.156489
1.010000,0.000002,0.014000,0.593700,0.000245,2.000000,0.000000,1.570674,0.000000,-0.000000,0.000124,0.593698,-0.000014,0.031056,-0.000593,-0.000859,-0.001774,0.596549,0.001085,0.001349,0.011555,0.401563,0.401563,-0.395474,-0.395474,0.405300,0.404430,-0.390288,-0.390564,0.234832,-0.234832,0.234832,-0.234832,0.233313,-0.235887,0.233616,-0.236353,0.392725,0.156464
1.020000,0.000004,0.034000,0.593700,0.000245,2.000000,0.000000,1.570674,0.000000,-0.000000,0.000630,0.593685,-0.000017,0.070152,-0.002058,-0.000848,-0.001719,0.596643,0.001058,0.008140,0.008252,0.401639,0.401639,-0.395550,-0.395550,0.405389,0.404513,-0.390211,-0.390488,0.234832,-0.234832,0.234832,-0.234832,0.233323,-0.235877,0.233626,-0.236342,0.392615,0.156448
1.030000,0.000007,0.054000,0.593700,0.000245,2.000000,0.000000,1.570674,0.000000,-0.000000,0.001528,0.593653,-0.000012,0.109611,-0.004492,-0.000837,-0.001547,0.596709,0.001025,0.021876,0.005269,0.401774,0.401774,-0.395685,-0.395685,0.405629,0.404741,-0.390012,-0.390296,0.234832,-0.234832,0.234832,-0.234832,0.233332,-0.235867,0.233637,-0.236330,0.392411,0.156438
1.040000,0.000009,0.074000,0.593700,0.000245,2.000000,0.000000,1.570674,0.000000,-0.000000,0.002822,0.593595,-0.000001,0.149159,-0.007216,-0.000827,-0.001193,0.596746,0.000983,0.042242,0.002575,0.401968,0.401968,-0.395879,-0.395879,0.406016,0.405138,-0.389719,-0.390015,0.234832,-0.234832,0.234832,-0.234832,0.233339,-0.235858,0.233647,-0.236319,0.392133,0.156433
1.050000,0.000011,0.094000,0.593700,0.000245,2.000000,0.000000,1.570674,0.000000,-0.000000,0.004511,0.593510,0.000014,0.188593,-0.009725,-0.000817,-0.000602,0.596757,0.000927,0.067835,0.000154,0.402221,0.402221,-0.396132,-0.396132,0.406513,0.405701,-0.389391,-0.389701,0.234832,-0.234832,0.234832,-0.234832,0.233345,-0.235851,0.233659,-0.236307,0.391834,0.156433
1.060000,0.000014,0.114000,0.593700,0.000245,2.000000,0.000000,1.570674,0.000000,-0.000000,0.006593,0.593402,0.000033,0.227793,-0.011707,-0.000808,0.000264,0.596740,0.000870,0.097135,-0.001882,0.402534,0.402534,-0.396444,-0.396444,0.407108,0.406396,-0.389093,-0.389415,0.234832,-0.234832,0.234832,-0.234832,0.233351,-0.235845,0.233671,-0.236294,0.391571,0.156442
1.070000,0.000016,0.134000,0.593700,0.000245,2.000000,0.000000,1.570674,0.000000,0.000000,0.009066,0.593278,0.000051,0.266705,-0.013013,-0.000800,0.001434,0.596713,0.000701,0.128888,-0.002870,0.402905,0.402905,-0.396815,-0.396815,0.407786,0.407184,-0.388873,-0.389204,0.234832,-0.234832,0.234832,-0.234832,0.233356,-0.235839,0.233682,-0.236282,0.391389,0.156454
1.080000,0.000019,0.154000,0.593700,0.000245,2.000000,0.000000,1.570674,0.000000,0.000001,0.011927,0.593143,0.000066,0.305412,-0.013821,-0.000793,0.002925,0.596677,0.000583,0.162205,-0.003453,0.403334,0.403334,-0.397244,-0.397244,0.408530,0.407988,-0.388767,-0.389104,0.234832,-0.234832,0.234832,-0.234832,0.233362,-0.235832,0.233692,-0.236272,0.391330,0.156467
1.090000,0.000021,0.174000,0.593700,0.000245,2.000000,0.000000,1.570674,0.000000,0.000002,0.015174,0.593002,0.000077,0.344008,-0.014343,-0.000788,0.004749,0.596655,0.000503,0.196020,-0.002661,0.403821,0.403821,-0.397731,-0.397731,0.409291,0.408693,-0.388768,-0.389102,0.234832,-0.234832,0.234832,-0.234832,0.233368,-0.235826,0.233699,-0.236264,0.391368,0.156471
