time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,0.000128,0.000000,0.000000,0.000000,0.593700,-0.000000,-0.000000,-0.000000,-0.001380,0.004616,0.594055,0.009582,-0.003892,0.022493,0.401545,0.401545,-0.395455,-0.395455,0.409740,0.403444,-0.393545,-0.388024,0.234832,-0.234832,0.234832,-0.234832,0.228573,-0.230610,0.236131,-0.238237,0.432861,0.169444
1.010000,0.014000,0.000002,0.593700,2.000000,0.000291,0.000000,0.000159,0.600000,0.000113,0.000001,0.593700,0.028490,0.000154,-0.000000,-0.001270,0.004580,0.594338,0.009477,-0.004102,0.037194,0.401545,0.401545,-0.395455,-0.395455,0.408562,0.403402,-0.393542,-0.389269,0.234832,-0.234832,0.234832,-0.234832,0.228835,-0.230511,0.236171,-0.237691,0.441122,0.171793
1.020000,0.034000,0.000006,0.593700,2.000000,0.000502,0.000000,0.000284,0.600000,0.000585,0.000003,0.593700,0.066210,0.000416,-0.000074,-0.001142,0.004526,0.594764,0.011764,-0.006606,0.047271,0.401546,0.401546,-0.395457,-0.395457,0.407103,0.403528,-0.393404,-0.390869,0.234832,-0.234832,0.234832,-0.234832,0.229153,-0.230405,0.236225,-0.237132,0.447296,0.173442
1.030000,0.054000,0.000013,0.593700,2.000000,0.000906,0.000000,0.000505,0.600000,0.001446,0.000009,0.593698,0.106094,0.000802,-0.000349,-0.000952,0.004440,0.595291,0.019618,-0.010726,0.052920,0.401564,0.401564,-0.395474,-0.395474,0.405118,0.403904,-0.393043,-0.393051,0.234832,-0.234832,0.234832,-0.234832,0.229453,-0.230320,0.236269,-0.236699,0.450428,0.174164
1.040000,0.074000,0.000024,0.593700,1.999999,0.001506,0.000000,0.000825,0.600000,0.002707,0.000020,0.593693,0.146094,0.001328,-0.000621,-0.000624,0.004311,0.595870,0.033875,-0.016157,0.054239,0.401605,0.401605,-0.395515,-0.395515,0.402221,0.404477,-0.392524,-0.396155,0.234832,-0.234832,0.234832,-0.234832,0.229626,-0.230260,0.236307,-0.236562,0.450230,0.173846
1.050000,0.094000,0.000043,0.593700,1.999999,0.002303,0.000000,0.001243,0.600000,0.004367,0.000036,0.593685,0.186094,0.001998,-0.000908,-0.000114,0.004133,0.596453,0.050913,-0.022127,0.051408,0.401670,0.401670,-0.395580,-0.395580,0.398350,0.405169,-0.391919,-0.400134,0.234832,-0.234832,0.234832,-0.234832,0.229573,-0.230213,0.236352,-0.236870,0.446937,0.172516
1.060000,0.114000,0.000071,0.593700,1.999997,0.003300,0.000000,0.001762,0.600000,0.006428,0.000060,0.593675,0.226094,0.002803,-0.001235,0.000571,0.003901,0.596983,0.067267,-0.028541,0.043648,0.401761,0.401761,-0.395672,-0.395672,0.393846,0.405960,-0.391163,-0.404529,0.234832,-0.234832,0.234832,-0.234832,0.229242,-0.230152,0.236440,-0.237698,0.441108,0.170340
1.070000,0.134000,0.000110,0.593700,1.999995,0.004503,0.000000,0.002384,0.600000,0.008889,0.000093,0.593660,0.266094,0.003728,-0.001615,0.001412,0.003605,0.597409,0.083232,-0.036146,0.031820,0.401884,0.401884,-0.395795,-0.395795,0.389056,0.406880,-0.390119,-0.408935,0.234832,-0.234832,0.234832,-0.234832,0.228627,-0.230053,0.236608,-0.239065,0.433589,0.167594
1.080000,0.154000,0.000162,0.593700,1.999991,0.005916,0.000000,0.003112,0.600000,0.011750,0.000135,0.593642,0.306094,0.004768,-0.002059,0.002424,0.003250,0.597660,0.102444,-0.045191,0.016318,0.402045,0.402045,-0.395956,-0.395956,0.384086,0.407986,-0.388945,-0.413259,0.234832,-0.234832,0.234832,-0.234832,0.227820,-0.229813,0.236960,-0.240879,0.423350,0.164565
1.090000,0.174000,0.000229,0.593700,1.999986,0.007548,0.000000,0.003950,0.600000,0.015011,0.000189,0.593619,0.346094,0.005908,-0.002575,0.003627,0.002781,0.597798,0.120321,-0.054840,0.003359,0.402252,0.402252,-0.396163,-0.396163,0.379252,0.409297,-0.387752,-0.417232,0.234832,-0.234832,0.234832,-0.234832,0.226730,-0.229548,0.237399,-0.243190,0.412496,0.161642
