time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,0.000137,0.000000,-0.000000,0.000000,0.593700,0.000000,0.000000,-0.000000,-0.000127,0.000754,0.596304,-0.005086,0.000953,0.013623,0.401545,0.401545,-0.395455,-0.395455,0.407236,0.408527,-0.390922,-0.391210,0.234832,-0.234832,0.234832,-0.234832,0.232265,-0.236516,0.232787,-0.236842,0.393559,0.155907
1.010000,0.014000,0.000002,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.000124,-0.000000,0.593698,0.031120,-0.000015,-0.000607,-0.000172,0.000763,0.596434,-0.003553,0.000921,0.012323,0.401563,0.401563,-0.395474,-0.395474,0.407252,0.408544,-0.390913,-0.391201,0.234832,-0.234832,0.234832,-0.234832,0.232254,-0.236526,0.232777,-0.236852,0.393470,0.155865
1.020000,0.034000,0.000005,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.000631,-0.000000,0.593685,0.070313,-0.000021,-0.002132,-0.000165,0.000772,0.596542,0.003359,0.000882,0.009295,0.401639,0.401639,-0.395550,-0.395550,0.407352,0.408647,-0.390824,-0.391113,0.234832,-0.234832,0.234832,-0.234832,0.232243,-0.236536,0.232766,-0.236861,0.393345,0.155830
1.030000,0.054000,0.000007,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.001532,-0.000000,0.593651,0.109926,-0.000024,-0.004774,-0.000037,0.000781,0.596619,0.017382,0.000845,0.006228,0.401775,0.401775,-0.395685,-0.395685,0.407605,0.408907,-0.390587,-0.390884,0.234832,-0.234832,0.234832,-0.234832,0.232231,-0.236547,0.232757,-0.236870,0.393099,0.155801
1.040000,0.074000,0.000010,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.002830,-0.000001,0.593588,0.149670,-0.000029,-0.007831,0.000278,0.000790,0.596670,0.038490,0.000814,0.003630,0.401969,0.401969,-0.395880,-0.395880,0.407988,0.409301,-0.390235,-0.390546,0.234832,-0.234832,0.234832,-0.234832,0.232218,-0.236559,0.232750,-0.236876,0.392754,0.155779
1.050000,0.094000,0.000013,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.004525,-0.000001,0.593495,0.189332,-0.000038,-0.010775,0.000833,0.000798,0.596699,0.065039,0.000783,0.001661,0.402223,0.402223,-0.396134,-0.396134,0.408436,0.409762,-0.389836,-0.390170,0.234832,-0.234832,0.234832,-0.234832,0.232205,-0.236572,0.232743,-0.236882,0.392372,0.155763
1.060000,0.114000,0.000016,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.006616,-0.000002,0.593373,0.228870,-0.000047,-0.013485,0.001846,0.000809,0.596709,0.110319,0.001120,0.000009,0.402537,0.402537,-0.396448,-0.396448,0.408897,0.410192,-0.389534,-0.389824,0.234832,-0.234832,0.234832,-0.234832,0.232193,-0.236582,0.232723,-0.236887,0.392066,0.155746
1.070000,0.134000,0.000018,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.009102,-0.000002,0.593228,0.268124,-0.000057,-0.015538,0.003012,0.000815,0.596687,0.131860,0.000701,-0.003143,0.402910,0.402910,-0.396821,-0.396821,0.409388,0.410369,-0.389418,-0.389568,0.234832,-0.234832,0.234832,-0.234832,0.232181,-0.236592,0.232720,-0.236891,0.391894,0.155749
1.080000,0.154000,0.000021,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.011978,-0.000003,0.593066,0.306996,-0.000062,-0.016646,0.004451,0.000823,0.596633,0.156941,0.000802,-0.004565,0.403341,0.403341,-0.397252,-0.397252,0.409953,0.410676,-0.389219,-0.389349,0.234832,-0.234832,0.234832,-0.234832,0.232172,-0.236600,0.232714,-0.236895,0.391758,0.155756
1.090000,0.174000,0.000024,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.015240,-0.000003,0.592898,0.345494,-0.000056,-0.016848,0.006201,0.000831,0.596598,0.187188,0.000867,-0.002845,0.403831,0.403831,-0.397741,-0.397741,0.410601,0.411097,-0.388914,-0.389088,0.234832,-0.234832,0.234832,-0.234832,0.232165,-0.236605,0.232705,-0.236904,0.391542,0.155755
1.100000,0.194000,0.000026,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.018887,-0.000004,0.592730,0.383870,-0.000046,-0.016796,0.008287,0.000840,0.596557,0.222067,0.000921,-0.004010,0.404378,0.404378,-0.398288,-0.398288,0.411305,0.411599,-0.388614,-0.388815,0.234832,-0.234832,0.234832,-0.234832,0.232157,-0.236613,0.232696,-0.236913,0.391326,0.155758
1.110000,0.214000,0.000029,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.022918,-0.000004,0.592561,0.422311,-0.000041,-0.016934,0.010729,0.000849,0.596534,0.258742,0.000951,-0.003109,0.404982,0.404982,-0.398893,-0.398893,0.412021,0.412165,-0.388525,-0.388749,0.234832,-0.234832,0.234832,-0.234832,0.232147,-0.236623,0.232689,-0.236919,0.391316,0.155754
1.120000,0.234000,0.000032,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.027334,-0.000005,0.592390,0.460887,-0.000042,-0.017389,0.013528,0.000859,0.596488,0.295938,0.001040,-0.005289,0.405645,0.405645,-0.399555,-0.399555,0.412569,0.412733,-0.388662,-0.388908,0.234832,-0.234832,0.234832,-0.234832,0.232136,-0.236634,0.232683,-0.236925,0.391511,0.155764
1.130000,0.254000,0.000035,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.032136,-0.000005,0.592213,0.499526,-0.000040,-0.017909,0.016820,0.000868,0.596439,0.339293,0.001009,-0.005130,0.406365,0.406365,-0.400276,-0.400276,0.413040,0.413169,-0.389282,-0.389314,0.234832,-0.234832,0.234832,-0.234832,0.232126,-0.236644,0.232674,-0.236934,0.392013,0.155765
