time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-1.571111,0.000000,-0.000000,0.000000,0.593297,0.000000,0.000000,0.000538,0.004295,0.001130,0.598241,-0.007898,-0.008167,0.018490,0.401545,0.401545,-0.395455,-0.395455,0.412148,0.395832,-0.391757,-0.390024,0.234832,-0.234832,0.234832,-0.234832,0.230141,-0.239492,0.238155,-0.238565,0.756481,0.288918
1.010000,-0.000002,-0.007000,0.593700,-0.000315,-1.000000,0.000000,-1.571111,0.000000,0.000003,-0.000128,0.593303,0.000769,-0.032001,0.000531,0.004229,0.001022,0.598558,-0.006692,-0.009056,0.047976,0.401545,0.401545,-0.395455,-0.395455,0.409655,0.395856,-0.391615,-0.392092,0.234832,-0.234832,0.234832,-0.234832,0.229982,-0.239390,0.238283,-0.238060,0.794040,0.299120
1.020000,-0.000005,-0.017000,0.593700,-0.000315,-1.000000,0.000000,-1.571111,0.000000,0.000013,-0.000648,0.593308,0.001106,-0.072002,0.000524,0.004158,0.000884,0.599169,-0.007450,-0.014072,0.069929,0.401545,0.401545,-0.395455,-0.395455,0.406971,0.395915,-0.391419,-0.394585,0.234832,-0.234832,0.234832,-0.234832,0.229993,-0.239235,0.238453,-0.237477,0.821833,0.306162
1.030000,0.000034,-0.026931,0.593700,0.008487,-0.985559,0.000000,-1.571111,0.000000,0.000033,-0.001567,0.593309,0.004231,-0.110883,-0.003482,0.007062,0.000192,0.600384,0.177775,-0.047540,0.190639,0.401545,0.401545,-0.395455,-0.395455,0.403676,0.395360,-0.391933,-0.397722,0.234832,-0.234832,0.234832,-0.234832,0.233045,-0.235271,0.242424,-0.233922,0.836347,0.300874
1.040000,0.000076,-0.036856,0.593700,-0.000285,-0.999967,0.000000,-1.571111,0.000000,0.000085,-0.002801,0.593199,0.003747,-0.134903,-0.010980,0.003030,-0.000669,0.602583,-0.261603,-0.060275,0.228978,0.401545,0.401545,-0.395455,-0.395455,0.401071,0.394303,-0.393621,-0.399486,0.234832,-0.234832,0.234832,-0.234832,0.245297,-0.224710,0.253575,-0.220549,0.824297,0.310396
1.050000,0.000073,-0.046856,0.593700,-0.000292,-0.999983,0.000000,-1.571111,0.000000,0.000108,-0.004288,0.593108,0.001266,-0.166562,-0.014652,0.003670,-0.001172,0.605004,0.053136,-0.049692,0.250846,0.401545,0.401545,-0.395455,-0.395455,0.401650,0.394433,-0.394056,-0.396559,0.234832,-0.234832,0.234832,-0.234832,0.237063,-0.232116,0.246200,-0.231120,0.796998,0.298738
1.060000,0.000070,-0.056856,0.593700,-0.000316,-0.999997,0.000000,-1.571111,0.000000,0.000116,-0.006154,0.592898,0.000453,-0.206562,-0.017926,0.004814,-0.001336,0.607572,0.014922,-0.055734,0.258986,0.401545,0.401545,-0.395455,-0.395455,0.402309,0.394820,-0.394399,-0.394393,0.234832,-0.234832,0.234832,-0.234832,0.238465,-0.226908,0.251494,-0.230645,0.763929,0.283539
1.070000,0.000067,-0.066856,0.593700,-0.000298,-0.999942,0.000000,-1.571111,0.000000,0.000118,-0.008419,0.592794,-0.000001,-0.246562,-0.004838,0.002734,-0.001387,0.610134,-0.062116,-0.037021,0.219808,0.401545,0.401545,-0.395455,-0.395455,0.402944,0.395619,-0.393602,-0.393344,0.234832,-0.234832,0.234832,-0.234832,0.239211,-0.228518,0.250253,-0.230285,0.728012,0.277456
1.080000,0.000067,-0.076851,0.593700,0.000259,-0.999058,0.000000,-1.571111,0.000000,0.000117,-0.011085,0.592762,-0.000072,-0.286562,-0.003058,0.003540,-0.001490,0.612205,0.016116,-0.047806,0.177881,0.401545,0.401545,-0.395455,-0.395455,0.401560,0.396816,-0.392972,-0.394621,0.234832,-0.234832,0.234832,-0.234832,0.236112,-0.230856,0.248059,-0.234907,0.688850,0.262447
1.090000,0.000071,-0.086839,0.593700,0.000427,-0.998795,0.000000,-1.571111,0.000000,0.000117,-0.014150,0.592747,-0.000050,-0.326562,-0.000280,0.002444,-0.001806,0.613904,-0.050908,-0.051326,0.115725,0.401545,0.401545,-0.395455,-0.395455,0.398582,0.398027,-0.392028,-0.397662,0.234832,-0.234832,0.234832,-0.234832,0.235461,-0.234228,0.244972,-0.236704,0.649607,0.255038
1.100000,0.000075,-0.096828,0.593700,0.000429,-0.998855,0.000000,-1.571111,0.000000,0.000116,-0.017616,0.592750,-0.000167,-0.366562,0.000822,0.002664,-0.002282,0.614656,-0.012690,-0.062899,0.028194,0.401545,0.401545,-0.395455,-0.395455,0.394722,0.399072,-0.391281,-0.401053,0.234832,-0.234832,0.234832,-0.234832,0.233593,-0.238716,0.240639,-0.240295,0.614951,0.246165
1.110000,0.000080,-0.106816,0.593700,0.000436,-0.998854,0.000000,-1.571111,0.000000,0.000114,-0.021482,0.592760,-0.000233,-0.406562,0.001136,0.002069,-0.002964,0.614714,-0.053756,-0.073310,-0.039725,0.401545,0.401545,-0.395455,-0.395455,0.391539,0.399691,-0.390214,-0.403566,0.234832,-0.234832,0.234832,-0.234832,0.232542,-0.242766,0.236673,-0.242172,0.591378,0.236409
1.120000,0.000084,-0.116805,0.593700,0.000441,-0.998855,0.000000,-1.571111,0.000000,0.000111,-0.025747,0.592772,-0.000253,-0.446562,0.001208,0.002154,-0.003882,0.614085,-0.006111,-0.098148,-0.084971,0.401545,0.401545,-0.395455,-0.395455,0.389783,0.400023,-0.388815,-0.403916,0.234832,-0.234832,0.234832,-0.234832,0.229329,-0.247296,0.232252,-0.245390,0.578285,0.231452
1.130000,0.000098,-0.126778,0.593700,-0.000318,-0.999995,0.000000,-1.571111,0.000000,0.000113,-0.030413,0.592770,-0.000261,-0.486562,-0.002556,0.002346,-0.005653,0.613344,-0.036300,-0.156267,-0.041761,0.401545,0.401545,-0.395455,-0.395455,0.388982,0.399265,-0.388544,-0.402660,0.234832,-0.234832,0.234832,-0.234832,0.229454,-0.247077,0.232747,-0.244330,0.577706,0.232958
1.140000,0.000095,-0.136778,0.593700,-0.000315,-0.999999,0.000000,-1.571111,0.000000,0.000107,-0.035471,0.592702,-0.000863,-0.523458,-0.006442,0.002160,-0.007619,0.612826,-0.017087,-0.178934,-0.030768,0.401545,0.401545,-0.395455,-0.395455,0.391060,0.397947,-0.389117,-0.400981,0.234832,-0.234832,0.234832,-0.234832,0.229451,-0.246830,0.233125,-0.242800,0.578573,0.232107
