time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,ux,uy
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,0.000128,0.000000,-0.000126,0.000758,0.596303,-0.005093,0.000948,0.013624,0.401545,0.401545,-0.395455,-0.395455,0.407212,0.408531,-0.390934,-0.391208,0.327970,0.155901
1.010000,0.014000,0.000002,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,-0.000172,0.000767,0.596434,-0.003792,0.000918,0.012441,0.401545,0.401545,-0.395455,-0.395455,0.407227,0.408547,-0.390925,-0.391198,0.327895,0.155860
1.020000,0.034000,0.000004,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,-0.000174,0.000777,0.596545,0.001958,0.000881,0.009838,0.401545,0.401545,-0.395455,-0.395455,0.407302,0.408624,-0.390837,-0.391111,0.327788,0.155823
1.030000,0.054000,0.000007,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,-0.000076,0.000785,0.596630,0.013621,0.000847,0.007203,0.401545,0.401545,-0.395455,-0.395455,0.407482,0.408811,-0.390603,-0.390884,0.327580,0.155793
1.040000,0.074000,0.000009,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.000178,0.000794,0.596691,0.031166,0.000816,0.004939,0.401545,0.401545,-0.395455,-0.395455,0.407744,0.409082,-0.390244,-0.390537,0.327279,0.155769
1.050000,0.094000,0.000012,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.000631,0.000802,0.596734,0.053204,0.000790,0.003168,0.401545,0.401545,-0.395455,-0.395455,0.408034,0.409382,-0.389815,-0.390127,0.326927,0.155749
1.060000,0.114000,0.000015,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.001537,0.000809,0.596768,0.094687,0.000776,0.003086,0.401545,0.401545,-0.395455,-0.395455,0.408211,0.409556,-0.389474,-0.389712,0.326593,0.155726
1.070000,0.134000,0.000017,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.002480,0.000816,0.596782,0.107673,0.000691,-0.000120,0.401545,0.401545,-0.395455,-0.395455,0.408228,0.409597,-0.389207,-0.389347,0.326354,0.155717
1.080000,0.154000,0.000020,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.003649,0.000823,0.596751,0.128447,0.000659,-0.003196,0.401545,0.401545,-0.395455,-0.395455,0.408311,0.409621,-0.388826,-0.388966,0.326093,0.155722
1.090000,0.174000,0.000022,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.005091,0.000830,0.596707,0.155279,0.000613,-0.003914,0.401545,0.401545,-0.395455,-0.395455,0.408456,0.409649,-0.388322,-0.388514,0.325755,0.155727
1.100000,0.194000,0.000025,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.006835,0.000836,0.596653,0.186155,0.000613,-0.006014,0.401545,0.401545,-0.395455,-0.395455,0.408640,0.409686,-0.387768,-0.387979,0.325353,0.155738
1.110000,0.214000,0.000027,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.008897,0.000841,0.596594,0.219231,0.000546,-0.004645,0.401545,0.401545,-0.395455,-0.395455,0.408841,0.409720,-0.387381,-0.387580,0.325084,0.155744
1.120000,0.234000,0.000030,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.011277,0.000847,0.596577,0.251420,0.000574,-0.002353,0.401545,0.401545,-0.395455,-0.395455,0.409053,0.409754,-0.387181,-0.387391,0.324952,0.155736
1.130000,0.254000,0.000033,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.013974,0.000852,0.596564,0.283884,0.000528,-0.003143,0.401545,0.401545,-0.395455,-0.395455,0.409164,0.409788,-0.387183,-0.387413,0.324981,0.155737
