time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Rollt,Pitcht,Yawt,Rollc,Pitchc,Yawc,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy,Forcex,Forcey,Forcez
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,-0.000000,-0.000000,-0.000000,-0.002347,0.001216,0.596314,0.002672,-0.001071,0.012952,0.000000,0.000000,-0.000315,-0.000140,0.000585,-0.000355,0.401545,0.401545,-0.395455,-0.395455,0.404490,0.402853,-0.393761,-0.394940,0.234832,-0.234832,0.234832,-0.234832,0.233049,-0.236223,0.233161,-0.236820,0.330703,0.156288,0.000000,0.000000,0.000000
1.010000,0.014000,-0.000004,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.000104,0.000000,0.593698,0.026135,0.000034,-0.000570,-0.002317,0.001205,0.596439,0.003696,-0.001062,0.011858,0.000000,0.000000,-0.000315,-0.000138,0.000588,-0.000356,0.401545,0.401545,-0.395455,-0.395455,0.404483,0.402846,-0.393666,-0.394895,0.234832,-0.234832,0.234832,-0.234832,0.233061,-0.236212,0.233172,-0.236809,0.330580,0.156263,0.000000,0.000000,0.000000
1.020000,0.034000,-0.000011,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.000530,0.000001,0.593686,0.059012,0.000048,-0.001948,-0.002246,0.001195,0.596548,0.009209,-0.001044,0.009556,0.000000,0.000000,-0.000315,-0.000136,0.000617,-0.000356,0.401545,0.401545,-0.395455,-0.395455,0.404533,0.402892,-0.393485,-0.394769,0.234832,-0.234832,0.234832,-0.234832,0.233071,-0.236201,0.233182,-0.236798,0.330418,0.156241,0.000000,0.000000,0.000000
1.030000,0.054000,-0.000017,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.001286,0.000001,0.593655,0.092215,0.000044,-0.004384,-0.002076,0.001184,0.596633,0.020511,-0.001028,0.006926,0.000000,0.000000,-0.000315,-0.000133,0.000673,-0.000356,0.401545,0.401545,-0.395455,-0.395455,0.404684,0.403032,-0.393132,-0.394480,0.234832,-0.234832,0.234832,-0.234832,0.233081,-0.236190,0.233191,-0.236788,0.330137,0.156225,0.000000,0.000000,0.000000
1.040000,0.074000,-0.000023,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.002375,0.000001,0.593597,0.125525,0.000033,-0.007255,-0.001753,0.001174,0.596687,0.037489,-0.000999,0.004164,0.000000,0.000000,-0.000315,-0.000131,0.000741,-0.000355,0.401545,0.401545,-0.395455,-0.395455,0.404914,0.403267,-0.392591,-0.394015,0.234832,-0.234832,0.234832,-0.234832,0.233089,-0.236181,0.233201,-0.236777,0.329726,0.156215,0.000000,0.000000,0.000000
1.050000,0.094000,-0.000030,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.003796,0.000002,0.593511,0.158680,0.000016,-0.009804,-0.001230,0.001164,0.596715,0.058998,-0.000974,0.001940,0.000000,0.000000,-0.000315,-0.000128,0.000810,-0.000348,0.401545,0.401545,-0.395455,-0.395455,0.405175,0.403601,-0.391878,-0.393392,0.234832,-0.234832,0.234832,-0.234832,0.233097,-0.236172,0.233211,-0.236766,0.329190,0.156210,0.000000,0.000000,0.000000
1.060000,0.114000,-0.000036,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.005547,0.000002,0.593403,0.191556,-0.000012,-0.011686,-0.000472,0.001155,0.596715,0.083926,-0.000928,-0.000621,0.000000,0.000000,-0.000315,-0.000127,0.000871,-0.000332,0.401545,0.401545,-0.395455,-0.395455,0.405464,0.404013,-0.391044,-0.392640,0.234832,-0.234832,0.234832,-0.234832,0.233101,-0.236167,0.233226,-0.236751,0.328557,0.156215,0.000000,0.000000,0.000000
1.070000,0.134000,-0.000042,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.007626,0.000001,0.593281,0.224083,-0.000050,-0.012703,0.000546,0.001146,0.596694,0.111637,-0.000824,-0.002021,0.000000,0.000000,-0.000315,-0.000128,0.000919,-0.000314,0.401545,0.401545,-0.395455,-0.395455,0.405783,0.404478,-0.390284,-0.391794,0.234832,-0.234832,0.234832,-0.234832,0.233104,-0.236164,0.233242,-0.236734,0.327918,0.156231,0.000000,0.000000,0.000000
1.080000,0.154000,-0.000049,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.010028,0.000001,0.593152,0.256282,-0.000090,-0.012895,0.001841,0.001137,0.596672,0.140788,-0.000763,-0.001480,0.000000,0.000000,-0.000315,-0.000129,0.000953,-0.000298,0.401545,0.401545,-0.395455,-0.395455,0.406124,0.404976,-0.389658,-0.391059,0.234832,-0.234832,0.234832,-0.234832,0.233107,-0.236160,0.233257,-0.236719,0.327379,0.156241,0.000000,0.000000,0.000000
1.090000,0.174000,-0.000055,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.012751,-0.000000,0.593023,0.288437,-0.000128,-0.013094,0.003421,0.001130,0.596673,0.170084,-0.000705,-0.000373,0.000000,0.000000,-0.000315,-0.000130,0.000973,-0.000282,0.401545,0.401545,-0.395455,-0.395455,0.406484,0.405492,-0.389191,-0.390492,0.234832,-0.234832,0.234832,-0.234832,0.233109,-0.236157,0.233271,-0.236704,0.326959,0.156244,0.000000,0.000000,0.000000
