time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,ux,uy
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,0.000128,0.000000,-0.000126,0.000758,0.596303,-0.005093,0.000948,0.013624,0.401545,0.401545,-0.395455,-0.395455,0.407212,0.408531,-0.390934,-0.391208,0.327970,0.155901
1.010000,0.007000,0.000001,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,-0.000172,0.000767,0.596434,-0.003792,0.000918,0.012441,0.401545,0.401545,-0.395455,-0.395455,0.407227,0.408547,-0.390925,-0.391198,0.327895,0.155860
1.020000,0.017000,0.000002,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,-0.000174,0.000777,0.596545,0.001958,0.000883,0.009838,0.401545,0.401545,-0.395455,-0.395455,0.407302,0.408624,-0.390837,-0.391111,0.327788,0.155823
1.030000,0.027000,0.000003,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,-0.000076,0.000785,0.596630,0.013621,0.000851,0.007203,0.401545,0.401545,-0.395455,-0.395455,0.407482,0.408811,-0.390603,-0.390884,0.327580,0.155793
1.040000,0.037000,0.000005,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.000178,0.000794,0.596691,0.031166,0.000823,0.004939,0.401545,0.401545,-0.395455,-0.395455,0.407744,0.409082,-0.390244,-0.390537,0.327279,0.155769
1.050000,0.047000,0.000006,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.000631,0.000802,0.596734,0.053204,0.000800,0.003168,0.401545,0.401545,-0.395455,-0.395455,0.408034,0.409382,-0.389815,-0.390127,0.326927,0.155749
1.060000,0.057000,0.000007,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.001315,0.000810,0.596763,0.078210,0.000775,0.001819,0.401545,0.401545,-0.395455,-0.395455,0.408287,0.409648,-0.389379,-0.389714,0.326573,0.155733
1.070000,0.067000,0.000009,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.002254,0.000817,0.596769,0.104784,0.000716,-0.000802,0.401545,0.401545,-0.395455,-0.395455,0.408472,0.409823,-0.388968,-0.389337,0.326259,0.155725
1.080000,0.077000,0.000010,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.003463,0.000824,0.596733,0.131925,0.000686,-0.003325,0.401545,0.401545,-0.395455,-0.395455,0.408625,0.409891,-0.388544,-0.388962,0.325981,0.155731
1.090000,0.087000,0.000011,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.004956,0.000831,0.596691,0.160134,0.000634,-0.003586,0.401545,0.401545,-0.395455,-0.395455,0.408769,0.409906,-0.388062,-0.388539,0.325663,0.155735
