time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Rollt,Pitcht,Yawt,Rollc,Pitchc,Yawc,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy,Forcex,Forcey,Forcez
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,-0.000000,-0.000000,-0.000000,-0.002347,0.001216,0.596314,0.002672,-0.001071,0.012952,0.000000,0.000000,-0.000315,-0.000140,0.000585,-0.000355,0.401545,0.401545,-0.395455,-0.395455,0.404490,0.402853,-0.393761,-0.394940,0.234832,-0.234832,0.234832,-0.234832,0.233049,-0.236223,0.233161,-0.236820,0.330703,0.156288,0.000000,0.000000,0.000000
1.010000,0.007000,-0.000002,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.000104,0.000000,0.593698,0.026135,0.000012,-0.000570,-0.002317,0.001205,0.596439,0.003696,-0.001062,0.011858,0.000000,0.000000,-0.000315,-0.000138,0.000588,-0.000356,0.401545,0.401545,-0.395455,-0.395455,0.404483,0.402846,-0.393666,-0.394895,0.234832,-0.234832,0.234832,-0.234832,0.233061,-0.236212,0.233172,-0.236809,0.330580,0.156263,0.000000,0.000000,0.000000
1.020000,0.017000,-0.000005,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.000530,0.000000,0.593686,0.059012,0.000013,-0.001948,-0.002246,0.001195,0.596548,0.009209,-0.001049,0.009556,0.000000,0.000000,-0.000315,-0.000136,0.000617,-0.000356,0.401545,0.401545,-0.395455,-0.395455,0.404533,0.402892,-0.393485,-0.394769,0.234832,-0.234832,0.234832,-0.234832,0.233071,-0.236201,0.233182,-0.236798,0.330418,0.156241,0.000000,0.000000,0.000000
1.030000,0.027000,-0.000009,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.001286,0.000000,0.593655,0.092215,0.000005,-0.004384,-0.002076,0.001184,0.596633,0.020511,-0.001037,0.006926,0.000000,0.000000,-0.000315,-0.000133,0.000673,-0.000356,0.401545,0.401545,-0.395455,-0.395455,0.404684,0.403032,-0.393132,-0.394480,0.234832,-0.234832,0.234832,-0.234832,0.233081,-0.236190,0.233191,-0.236788,0.330137,0.156225,0.000000,0.000000,0.000000
1.040000,0.037000,-0.000012,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.002375,0.000000,0.593597,0.125524,-0.000006,-0.007250,-0.001753,0.001174,0.596687,0.037550,-0.000980,0.004208,0.000000,0.000000,-0.000315,-0.000131,0.000741,-0.000355,0.401545,0.401545,-0.395455,-0.395455,0.404914,0.403267,-0.392591,-0.394015,0.234832,-0.234832,0.234832,-0.234832,0.233090,-0.236180,0.233201,-0.236777,0.329726,0.156215,0.000000,0.000000,0.000000
1.050000,0.047000,-0.000015,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.003795,0.000000,0.593513,0.158570,-0.000019,-0.009451,-0.000999,0.001163,0.596724,0.069726,-0.001007,0.003314,0.000000,0.000000,-0.000315,-0.000128,0.000794,-0.000350,0.401545,0.401545,-0.395455,-0.395455,0.405039,0.403462,-0.392032,-0.393394,0.234832,-0.234832,0.234832,-0.234832,0.233097,-0.236158,0.233200,-0.236766,0.329242,0.156203,0.000000,0.000000,0.000000
1.060000,0.057000,-0.000018,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.005545,-0.000000,0.593410,0.191330,-0.000037,-0.010957,-0.000257,0.001154,0.596731,0.083717,-0.000947,-0.000126,0.000000,0.000000,-0.000315,-0.000128,0.000854,-0.000336,0.401545,0.401545,-0.395455,-0.395455,0.405206,0.403786,-0.391294,-0.392652,0.234832,-0.234832,0.234832,-0.234832,0.233102,-0.236151,0.233214,-0.236751,0.328659,0.156207,0.000000,0.000000,0.000000
1.070000,0.067000,-0.000021,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.007622,-0.000001,0.593294,0.223940,-0.000059,-0.012194,0.000716,0.001144,0.596715,0.107287,-0.000816,-0.001902,0.000000,0.000000,-0.000315,-0.000128,0.000912,-0.000317,0.401545,0.401545,-0.395455,-0.395455,0.405487,0.404236,-0.390543,-0.391784,0.234832,-0.234832,0.234832,-0.234832,0.233105,-0.236148,0.233231,-0.236734,0.328013,0.156223,0.000000,0.000000,0.000000
1.080000,0.077000,-0.000024,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.010023,-0.000001,0.593168,0.256302,-0.000083,-0.012858,0.001962,0.001136,0.596687,0.136137,-0.000772,-0.001937,0.000000,0.000000,-0.000315,-0.000129,0.000956,-0.000299,0.401545,0.401545,-0.395455,-0.395455,0.405845,0.404760,-0.389875,-0.390992,0.234832,-0.234832,0.234832,-0.234832,0.233108,-0.236144,0.233246,-0.236718,0.327437,0.156234,0.000000,0.000000,0.000000
1.090000,0.087000,-0.000027,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.012747,-0.000002,0.593038,0.288541,-0.000105,-0.013304,0.003502,0.001128,0.596684,0.166324,-0.000710,-0.000730,0.000000,0.000000,-0.000315,-0.000130,0.000982,-0.000282,0.401545,0.401545,-0.395455,-0.395455,0.406247,0.405321,-0.389349,-0.390370,0.234832,-0.234832,0.234832,-0.234832,0.233110,-0.236141,0.233261,-0.236703,0.326971,0.156237,0.000000,0.000000,0.000000
1.100000,0.097000,-0.000031,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.015795,-0.000003,0.592899,0.321031,-0.000126,-0.014634,0.005342,0.001121,0.596705,0.197045,-0.000698,0.000311,0.000000,0.000000,-0.000315,-0.000130,0.000992,-0.000268,0.401545,0.401545,-0.395455,-0.395455,0.406669,0.405892,-0.389002,-0.389942,0.234832,-0.234832,0.234832,-0.234832,0.233112,-0.236139,0.233274,-0.236690,0.326647,0.156235,0.000000,0.000000,0.000000
