time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,ux,uy
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,0.000128,0.000000,-0.000126,0.000758,0.596303,-0.005093,0.000948,0.013624,0.401545,0.401545,-0.395455,-0.395455,0.407212,0.408531,-0.390934,-0.391208,0.327970,0.155901
1.010000,0.014000,0.000002,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,-0.000172,0.000767,0.596434,-0.003777,0.000918,0.012438,0.401560,0.401560,-0.395471,-0.395471,0.407227,0.408547,-0.390925,-0.391199,0.327895,0.155860
1.020000,0.034000,0.000004,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,-0.000174,0.000777,0.596544,0.002016,0.000881,0.009816,0.401624,0.401624,-0.395534,-0.395534,0.407312,0.408635,-0.390850,-0.391124,0.327796,0.155823
1.030000,0.054000,0.000007,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,-0.000075,0.000785,0.596629,0.013721,0.000847,0.007157,0.401736,0.401736,-0.395647,-0.395647,0.407525,0.408853,-0.390652,-0.390933,0.327614,0.155793
1.040000,0.074000,0.000009,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.000180,0.000794,0.596690,0.031306,0.000816,0.004870,0.401898,0.401898,-0.395809,-0.395809,0.407846,0.409184,-0.390359,-0.390652,0.327363,0.155769
1.050000,0.094000,0.000012,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.000634,0.000802,0.596731,0.053389,0.000788,0.003077,0.402109,0.402109,-0.396020,-0.396020,0.408223,0.409572,-0.390029,-0.390341,0.327091,0.155750
1.060000,0.114000,0.000015,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.001321,0.000810,0.596759,0.078458,0.000755,0.001630,0.402370,0.402370,-0.396281,-0.396281,0.408594,0.409954,-0.389725,-0.390060,0.326845,0.155734
1.070000,0.134000,0.000017,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.002262,0.000817,0.596764,0.105081,0.000687,-0.000640,0.402680,0.402680,-0.396590,-0.396590,0.408953,0.410279,-0.389495,-0.389857,0.326668,0.155728
1.080000,0.154000,0.000020,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.003473,0.000824,0.596727,0.132257,0.000647,-0.003493,0.403039,0.403039,-0.396949,-0.396949,0.409341,0.410564,-0.389329,-0.389734,0.326584,0.155733
1.090000,0.174000,0.000022,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.004967,0.000830,0.596681,0.160458,0.000597,-0.003818,0.403446,0.403446,-0.397357,-0.397357,0.409780,0.410863,-0.389182,-0.389642,0.326534,0.155738
1.100000,0.194000,0.000025,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.006758,0.000836,0.596653,0.190018,0.000554,-0.002849,0.403902,0.403902,-0.397813,-0.397813,0.410279,0.411205,-0.389018,-0.389543,0.326471,0.155736
1.110000,0.214000,0.000027,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.008857,0.000841,0.596607,0.222184,0.000516,-0.004463,0.404406,0.404406,-0.398317,-0.398317,0.410839,0.411597,-0.388978,-0.389481,0.326484,0.155744
1.120000,0.234000,0.000030,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.011273,0.000846,0.596567,0.255083,0.000463,-0.004551,0.404959,0.404959,-0.398869,-0.398869,0.411394,0.412044,-0.389160,-0.389649,0.326686,0.155750
1.130000,0.254000,0.000033,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.014006,0.000851,0.596503,0.287901,0.000473,-0.006485,0.405560,0.405560,-0.399470,-0.399470,0.411768,0.412444,-0.389567,-0.390056,0.327070,0.155765
1.140000,0.274000,0.000035,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.017050,0.000856,0.596441,0.318686,0.000441,-0.006001,0.406209,0.406209,-0.400120,-0.400120,0.412081,0.412703,-0.390202,-0.390697,0.327618,0.155774
1.150000,0.294000,0.000038,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.020402,0.000860,0.596379,0.348207,0.000445,-0.006520,0.406907,0.406907,-0.400817,-0.400817,0.412424,0.412948,-0.390975,-0.391499,0.328330,0.155783
1.162000,0.318000,0.000041,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.024841,0.000867,0.596332,0.384586,0.000551,-0.006307,0.407809,0.407809,-0.401719,-0.401719,0.412915,0.413314,-0.391886,-0.392467,0.329223,0.155785
1.172000,0.338000,0.000043,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.028898,0.000871,0.596162,0.419870,0.000544,-0.013960,0.408614,0.408614,-0.402525,-0.402525,0.413202,0.413603,-0.392753,-0.393321,0.330062,0.155838
1.182000,0.358000,0.000046,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.033284,0.000877,0.596061,0.452750,0.000570,-0.008280,0.409468,0.409468,-0.403378,-0.403378,0.413461,0.413796,-0.393862,-0.394425,0.331044,0.155851
1.192000,0.378000,0.000048,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.037989,0.000883,0.596030,0.483519,0.000484,-0.007305,0.410367,0.410367,-0.404277,-0.404277,0.413786,0.414027,-0.395160,-0.395731,0.332175,0.155844
1.202000,0.398000,0.000051,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,0.043017,0.000889,0.595898,0.515439,0.000644,-0.013212,0.411314,0.411314,-0.405225,-0.405225,0.414034,0.414287,-0.396467,-0.397070,0.333398,0.155889
1.212000,0.418000,0.000054,0.593700,1.999999,0.000257,0.000000,0.000128,0.000000,0.048364,0.000909,0.595756,0.548199,0.001546,-0.013633,0.412312,0.412312,-0.406222,-0.406222,0.414280,0.414487,-0.397749,-0.398402,0.334577,0.155887
1.222000,0.438000,0.000056,0.593700,2.000000,0.000257,0.000000,0.000128,0.000000,0.054044,0.000922,0.595684,0.582012,0.001139,-0.010053,0.413356,0.413356,-0.407267,-0.407267,0.414607,0.414740,-0.399309,-0.399986,0.335966,0.155895
1.232000,0.458000,0.000059,0.593700,1.999999,0.000257,0.000000,0.000128,0.000000,0.060057,0.000924,0.595504,0.614875,0.000510,-0.014437,0.414448,0.414448,-0.408358,-0.408358,0.414863,0.414972,-0.401031,-0.401731,0.337517,0.155952
1.242000,0.478000,0.000061,0.593700,1.999999,0.000257,0.000000,0.000128,0.000000,0.066398,0.000933,0.595454,0.645305,0.000796,-0.006795,0.415589,0.415589,-0.409499,-0.409499,0.415166,0.415195,-0.402680,-0.403400,0.338997,0.155942
1.252000,0.498000,0.000064,0.593700,1.999999,0.000257,0.000000,0.000128,0.000000,0.073074,0.000936,0.595213,0.681786,0.000482,-0.020044,0.416780,0.416780,-0.410691,-0.410691,0.415464,0.415462,-0.404514,-0.405180,0.340685,0.156028
1.262000,0.518000,0.000066,0.593700,1.999999,0.000257,0.000000,0.000128,0.000000,0.080086,0.000945,0.595128,0.714099,0.000869,-0.008431,0.418022,0.418022,-0.411933,-0.411933,0.415762,0.415713,-0.406518,-0.407171,0.342426,0.156024
1.272000,0.538000,0.000069,0.593700,1.999999,0.000257,0.000000,0.000128,0.000000,0.087427,0.000947,0.594911,0.746784,0.000484,-0.023258,0.419314,0.419314,-0.413225,-0.413225,0.416072,0.416013,-0.408461,-0.409086,0.344197,0.156104
1.282000,0.558000,0.000072,0.593700,1.999999,0.000257,0.000000,0.000128,0.000000,0.095109,0.000957,0.594808,0.782151,0.001045,-0.007556,0.420657,0.420657,-0.414568,-0.414568,0.416394,0.416293,-0.410658,-0.411223,0.346106,0.156100
