time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Rollt,Pitcht,Yawt,Rollc,Pitchc,Yawc,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy,Forcex,Forcey,Forcez
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,0.000000,0.000000,0.593700,-0.000000,-0.000000,-0.000000,-0.002347,0.001216,0.596314,0.002672,-0.001071,0.012952,0.000000,0.000000,-0.000315,-0.000140,0.000585,-0.000355,0.401545,0.401545,-0.395455,-0.395455,0.404490,0.402853,-0.393761,-0.394940,0.234832,-0.234832,0.234832,-0.234832,0.233049,-0.236223,0.233161,-0.236820,0.330703,0.156288,0.000000,0.000000,0.000000
1.010000,0.014000,-0.000004,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.000104,0.000000,0.593698,0.026135,0.000034,-0.000571,-0.002317,0.001205,0.596439,0.003711,-0.001062,0.011858,0.000000,0.000000,-0.000315,-0.000138,0.000589,-0.000356,0.401560,0.401560,-0.395471,-0.395471,0.404484,0.402846,-0.393666,-0.394896,0.234832,-0.234832,0.234832,-0.234832,0.233061,-0.236212,0.233172,-0.236809,0.330581,0.156263,0.000000,0.000000,0.000000
1.020000,0.034000,-0.000011,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.000530,0.000001,0.593686,0.059014,0.000048,-0.001953,-0.002245,0.001195,0.596548,0.009275,-0.001045,0.009555,0.000000,0.000000,-0.000315,-0.000136,0.000619,-0.000356,0.401624,0.401624,-0.395535,-0.395535,0.404544,0.402903,-0.393499,-0.394783,0.234832,-0.234832,0.234832,-0.234832,0.233071,-0.236201,0.233182,-0.236798,0.330426,0.156241,0.000000,0.000000,0.000000
1.030000,0.054000,-0.000017,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.001286,0.000001,0.593655,0.092224,0.000044,-0.004404,-0.002075,0.001184,0.596633,0.020631,-0.001028,0.006893,0.000000,0.000000,-0.000315,-0.000133,0.000678,-0.000356,0.401738,0.401738,-0.395648,-0.395648,0.404728,0.403075,-0.393186,-0.394534,0.234832,-0.234832,0.234832,-0.234832,0.233080,-0.236190,0.233191,-0.236788,0.330174,0.156225,0.000000,0.000000,0.000000
1.040000,0.074000,-0.000023,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.002375,0.000001,0.593597,0.125549,0.000033,-0.007286,-0.001552,0.001173,0.596686,0.057503,-0.001151,0.004036,0.000000,0.000000,-0.000315,-0.000130,0.000749,-0.000355,0.401901,0.401901,-0.395812,-0.395812,0.405002,0.403329,-0.392773,-0.394146,0.234832,-0.234832,0.234832,-0.234832,0.233090,-0.236166,0.233189,-0.236777,0.329987,0.156216,0.000000,0.000000,0.000000
1.050000,0.094000,-0.000030,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.003796,0.000002,0.593513,0.158574,0.000018,-0.009384,-0.001001,0.001164,0.596722,0.066805,-0.000984,0.002859,0.000000,0.000000,-0.000315,-0.000128,0.000804,-0.000350,0.402114,0.402114,-0.396025,-0.396025,0.405209,0.403657,-0.392300,-0.393647,0.234832,-0.234832,0.234832,-0.234832,0.233096,-0.236158,0.233200,-0.236767,0.329442,0.156204,0.000000,0.000000,0.000000
1.060000,0.114000,-0.000036,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.005545,0.000002,0.593411,0.191351,-0.000006,-0.010860,-0.000267,0.001154,0.596729,0.082465,-0.000961,-0.000095,0.000000,0.000000,-0.000315,-0.000127,0.000870,-0.000337,0.402377,0.402377,-0.396287,-0.396287,0.405542,0.404151,-0.391692,-0.393070,0.234832,-0.234832,0.234832,-0.234832,0.233102,-0.236151,0.233214,-0.236752,0.328970,0.156206,0.000000,0.000000,0.000000
1.070000,0.134000,-0.000042,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.007623,0.000002,0.593295,0.224033,-0.000042,-0.012198,0.000706,0.001145,0.596715,0.107074,-0.000869,-0.001036,0.000000,0.000000,-0.000315,-0.000127,0.000931,-0.000319,0.402688,0.402688,-0.396599,-0.396599,0.406035,0.404812,-0.391095,-0.392409,0.234832,-0.234832,0.234832,-0.234832,0.233105,-0.236148,0.233229,-0.236736,0.328473,0.156222,0.000000,0.000000,0.000000
1.080000,0.154000,-0.000049,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.010025,0.000001,0.593169,0.256487,-0.000082,-0.012976,0.001957,0.001137,0.596688,0.136436,-0.000762,-0.001858,0.000000,0.000000,-0.000315,-0.000129,0.000975,-0.000302,0.403049,0.403049,-0.396959,-0.396959,0.406649,0.405590,-0.390625,-0.391827,0.234832,-0.234832,0.234832,-0.234832,0.233107,-0.236144,0.233245,-0.236720,0.328060,0.156234,0.000000,0.000000,0.000000
1.090000,0.174000,-0.000055,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.012752,-0.000000,0.593036,0.288843,-0.000121,-0.013556,0.003504,0.001129,0.596688,0.166946,-0.000703,-0.000583,0.000000,0.000000,-0.000315,-0.000129,0.001001,-0.000286,0.403457,0.403457,-0.397368,-0.397368,0.407351,0.406449,-0.390334,-0.391444,0.234832,-0.234832,0.234832,-0.234832,0.233109,-0.236142,0.233259,-0.236705,0.327794,0.156238,0.000000,0.000000,0.000000
