time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,ux,uy
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,0.000128,0.000000,-0.000126,0.000758,0.596303,-0.005093,0.000948,0.013624,0.401545,0.401545,-0.395455,-0.395455,0.407212,0.408531,-0.390934,-0.391208,0.327970,0.155901
1.010000,0.007000,0.000001,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,-0.000172,0.000767,0.596434,-0.003777,0.000918,0.012438,0.401560,0.401560,-0.395471,-0.395471,0.407227,0.408547,-0.390925,-0.391199,0.327895,0.155860
1.020000,0.017000,0.000002,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,-0.000174,0.000777,0.596544,0.002016,0.000883,0.009816,0.401624,0.401624,-0.395534,-0.395534,0.407312,0.408635,-0.390850,-0.391124,0.327796,0.155823
1.030000,0.027000,0.000003,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,-0.000075,0.000785,0.596629,0.013721,0.000851,0.007157,0.401736,0.401736,-0.395647,-0.395647,0.407525,0.408853,-0.390652,-0.390933,0.327614,0.155793
1.040000,0.037000,0.000005,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.000180,0.000794,0.596690,0.031306,0.000823,0.004870,0.401898,0.401898,-0.395809,-0.395809,0.407846,0.409184,-0.390359,-0.390652,0.327363,0.155769
1.050000,0.047000,0.000006,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.000634,0.000802,0.596731,0.053389,0.000798,0.003077,0.402109,0.402109,-0.396020,-0.396020,0.408223,0.409572,-0.390029,-0.390341,0.327091,0.155750
1.060000,0.057000,0.000007,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.001321,0.000810,0.596759,0.078458,0.000769,0.001630,0.402370,0.402370,-0.396281,-0.396281,0.408594,0.409954,-0.389725,-0.390060,0.326845,0.155734
1.070000,0.067000,0.000009,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.002262,0.000817,0.596764,0.105081,0.000705,-0.000639,0.402680,0.402680,-0.396590,-0.396590,0.408953,0.410278,-0.389495,-0.389857,0.326668,0.155727
1.080000,0.077000,0.000010,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.003473,0.000824,0.596727,0.132257,0.000670,-0.003492,0.403039,0.403039,-0.396949,-0.396949,0.409341,0.410564,-0.389329,-0.389734,0.326584,0.155733
1.090000,0.087000,0.000011,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.004967,0.000831,0.596681,0.160458,0.000625,-0.003818,0.403446,0.403446,-0.397357,-0.397357,0.409780,0.410863,-0.389182,-0.389642,0.326534,0.155738
1.100000,0.097000,0.000012,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.006758,0.000837,0.596653,0.190018,0.000587,-0.002849,0.403902,0.403902,-0.397813,-0.397813,0.410280,0.411205,-0.389018,-0.389543,0.326471,0.155736
1.110000,0.107000,0.000014,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.008857,0.000843,0.596607,0.222184,0.000554,-0.004462,0.404406,0.404406,-0.398317,-0.398317,0.410839,0.411597,-0.388978,-0.389481,0.326484,0.155743
1.120000,0.117000,0.000015,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.011273,0.000848,0.596567,0.255083,0.000506,-0.004551,0.404959,0.404959,-0.398869,-0.398869,0.411394,0.412044,-0.389161,-0.389649,0.326686,0.155748
1.130000,0.127000,0.000016,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.014362,0.000855,0.596506,0.313844,0.000793,-0.004878,0.405560,0.405560,-0.399470,-0.399470,0.411666,0.412341,-0.389682,-0.390165,0.327120,0.155753
