time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Rollt,Pitcht,Yawt,Rollc,Pitchc,Yawc,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy,Forcex,Forcey,Forcez
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,-0.000000,0.000000,0.593700,0.000000,-0.000000,-0.000000,-0.002347,0.001216,0.596314,0.002672,-0.001071,0.012952,0.000000,0.000000,-0.000315,-0.000140,0.000585,-0.000355,0.401545,0.401545,-0.395455,-0.395455,0.404490,0.402853,-0.393761,-0.394940,0.234832,-0.234832,0.234832,-0.234832,0.233049,-0.236223,0.233161,-0.236820,0.330703,0.156288,0.000000,0.000000,0.000000
1.010000,0.007000,-0.000002,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.000104,0.000000,0.593698,0.026135,0.000012,-0.000571,-0.002317,0.001205,0.596439,0.003711,-0.001063,0.011858,0.000000,0.000000,-0.000315,-0.000138,0.000589,-0.000356,0.401545,0.401545,-0.395455,-0.395455,0.404484,0.402846,-0.393666,-0.394896,0.234832,-0.234832,0.234832,-0.234832,0.233061,-0.236212,0.233172,-0.236809,0.330580,0.156263,0.000000,0.000000,0.000000
1.020000,0.017000,-0.000005,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.000530,0.000000,0.593686,0.059014,0.000013,-0.001952,-0.002245,0.001195,0.596548,0.009271,-0.001049,0.009555,0.000000,0.000000,-0.000315,-0.000136,0.000619,-0.000356,0.401545,0.401545,-0.395455,-0.395455,0.404544,0.402903,-0.393499,-0.394783,0.234832,-0.234832,0.234832,-0.234832,0.233071,-0.236201,0.233182,-0.236798,0.330426,0.156241,0.000000,0.000000,0.000000
1.030000,0.027000,-0.000009,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.001286,0.000000,0.593655,0.092224,0.000005,-0.004403,-0.002075,0.001184,0.596633,0.020618,-0.001037,0.006896,0.000000,0.000000,-0.000315,-0.000133,0.000677,-0.000356,0.401545,0.401545,-0.395455,-0.395455,0.404725,0.403072,-0.393182,-0.394531,0.234832,-0.234832,0.234832,-0.234832,0.233081,-0.236190,0.233191,-0.236788,0.330172,0.156225,0.000000,0.000000,0.000000
1.040000,0.037000,-0.000012,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.002375,0.000000,0.593597,0.125543,-0.000006,-0.007281,-0.001751,0.001174,0.596686,0.037672,-0.000982,0.004137,0.000000,0.000000,-0.000315,-0.000131,0.000748,-0.000355,0.401545,0.401545,-0.395455,-0.395455,0.405007,0.403367,-0.392709,-0.394133,0.234832,-0.234832,0.234832,-0.234832,0.233090,-0.236180,0.233201,-0.236777,0.329812,0.156215,0.000000,0.000000,0.000000
1.050000,0.047000,-0.000015,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.003796,0.000000,0.593512,0.158595,-0.000019,-0.009460,-0.000993,0.001163,0.596721,0.070094,-0.001004,0.003123,0.000000,0.000000,-0.000315,-0.000128,0.000803,-0.000350,0.401545,0.401545,-0.395455,-0.395455,0.405216,0.403651,-0.392249,-0.393615,0.234832,-0.234832,0.234832,-0.234832,0.233097,-0.236158,0.233200,-0.236766,0.329408,0.156204,0.000000,0.000000,0.000000
1.060000,0.057000,-0.000018,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.005546,-0.000000,0.593410,0.191351,-0.000036,-0.010881,-0.000249,0.001153,0.596730,0.083789,-0.000982,0.000117,0.000000,0.000000,-0.000315,-0.000127,0.000865,-0.000337,0.401545,0.401545,-0.395455,-0.395455,0.405495,0.404098,-0.391633,-0.393012,0.234832,-0.234832,0.234832,-0.234832,0.233102,-0.236151,0.233214,-0.236751,0.328925,0.156206,0.000000,0.000000,0.000000
1.070000,0.067000,-0.000021,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.007623,-0.000001,0.593295,0.223988,-0.000058,-0.012100,0.000724,0.001144,0.596717,0.107185,-0.000892,-0.000982,0.000000,0.000000,-0.000315,-0.000127,0.000924,-0.000318,0.401545,0.401545,-0.395455,-0.395455,0.405928,0.404706,-0.391004,-0.392310,0.234832,-0.234832,0.234832,-0.234832,0.233105,-0.236147,0.233230,-0.236734,0.328401,0.156222,0.000000,0.000000,0.000000
1.080000,0.077000,-0.000024,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.010025,-0.000001,0.593169,0.256442,-0.000082,-0.012911,0.001971,0.001136,0.596689,0.136095,-0.000781,-0.001942,0.000000,0.000000,-0.000315,-0.000129,0.000968,-0.000301,0.401545,0.401545,-0.395455,-0.395455,0.406473,0.405419,-0.390482,-0.391666,0.234832,-0.234832,0.234832,-0.234832,0.233108,-0.236143,0.233246,-0.236718,0.327943,0.156234,0.000000,0.000000,0.000000
1.090000,0.087000,-0.000027,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.012751,-0.000002,0.593038,0.288782,-0.000104,-0.013486,0.003514,0.001128,0.596688,0.166492,-0.000718,-0.000657,0.000000,0.000000,-0.000315,-0.000130,0.000994,-0.000285,0.401545,0.401545,-0.395455,-0.395455,0.407092,0.406197,-0.390119,-0.391207,0.234832,-0.234832,0.234832,-0.234832,0.233110,-0.236141,0.233260,-0.236704,0.327618,0.156238,0.000000,0.000000,0.000000
