time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,ux,uy
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,0.000128,0.000000,-0.000126,0.000758,0.596303,-0.005093,0.000948,0.013624,0.401545,0.401545,-0.395455,-0.395455,0.407212,0.408531,-0.390934,-0.391208,0.327970,0.155901
1.010000,0.014000,0.000002,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,-0.000006,0.000770,0.596466,-0.055094,0.001460,0.025751,0.401558,0.401558,-0.395469,-0.395469,0.407852,0.409173,-0.390206,-0.390478,0.328085,0.155849
1.020000,0.034000,0.000004,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,-0.000477,0.000783,0.596690,-0.141386,0.000419,0.029207,0.401598,0.401598,-0.395508,-0.395508,0.414003,0.415286,-0.383361,-0.383640,0.322970,0.155790
1.030000,0.054000,0.000007,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,-0.001357,0.000805,0.597137,-0.128243,0.001750,0.054154,0.401644,0.401644,-0.395554,-0.395554,0.424138,0.425304,-0.372379,-0.372597,0.313361,0.155651
1.040000,0.074000,0.000009,0.593700,1.999996,0.000257,0.000000,0.000128,0.000000,-0.001847,0.000843,0.597797,-0.055743,0.003017,0.078015,0.401681,0.401681,-0.395591,-0.395591,0.435638,0.436713,-0.360030,-0.360187,0.302469,0.155420
1.050000,0.094000,0.000012,0.593700,1.999996,0.000258,0.000000,0.000128,0.000000,-0.001706,0.000870,0.598645,0.026048,0.002153,0.079888,0.401700,0.401700,-0.395610,-0.395610,0.447077,0.447995,-0.347649,-0.347784,0.291765,0.155182
1.060000,0.114000,0.000015,0.593700,1.999996,0.000258,0.000000,0.000128,0.000000,-0.000873,0.000879,0.599495,0.105380,0.001858,0.086048,0.401706,0.401706,-0.395617,-0.395617,0.458046,0.458749,-0.336052,-0.336021,0.281642,0.154955
1.070000,0.134000,0.000017,0.593700,1.999995,0.000258,0.000000,0.000128,0.000000,0.000452,0.000903,0.600360,0.166857,0.002180,0.099476,0.401705,0.401705,-0.395615,-0.395615,0.468464,0.469019,-0.325479,-0.325393,0.272299,0.154657
1.080000,0.154000,0.000020,0.593700,1.999995,0.000258,0.000000,0.000128,0.000000,0.002214,0.000908,0.601274,0.219178,-0.000131,0.092086,0.401700,0.401700,-0.395611,-0.395611,0.478271,0.478739,-0.315976,-0.315885,0.263829,0.154376
1.090000,0.174000,0.000022,0.593700,1.999994,0.000259,0.000000,0.000128,0.000000,0.004471,0.000901,0.602238,0.270718,0.000761,0.087725,0.401695,0.401695,-0.395606,-0.395606,0.487191,0.487714,-0.307588,-0.307521,0.256248,0.154113
1.100000,0.194000,0.000025,0.593700,1.999994,0.000259,0.000000,0.000128,0.000000,0.007286,0.000921,0.603377,0.324740,0.002515,0.108908,0.401690,0.401690,-0.395601,-0.395601,0.495119,0.495741,-0.300428,-0.300408,0.249743,0.153799
1.110000,0.214000,0.000028,0.593700,1.999993,0.000259,0.000000,0.000128,0.000000,0.011129,0.000953,0.604485,0.411495,0.002992,0.129303,0.401685,0.401685,-0.395596,-0.395596,0.502098,0.502795,-0.294842,-0.294869,0.244435,0.153480
1.120000,0.234000,0.000030,0.593700,1.999992,0.000259,0.000000,0.000128,0.000000,0.015356,0.000979,0.605634,0.468323,0.002932,0.124637,0.401681,0.401681,-0.395592,-0.395592,0.508153,0.508874,-0.290329,-0.290428,0.240158,0.153188
1.130000,0.253999,0.000033,0.593700,1.999992,0.000259,0.000000,0.000128,0.000000,0.019923,0.001011,0.607111,0.500346,0.003200,0.143000,0.401677,0.401677,-0.395587,-0.395587,0.513275,0.514015,-0.287222,-0.286990,0.236817,0.152804
1.140000,0.273999,0.000035,0.593700,1.999992,0.000260,0.000000,0.000128,0.000000,0.024928,0.001047,0.608596,0.540221,0.003321,0.158973,0.401673,0.401673,-0.395583,-0.395583,0.517595,0.518374,-0.284651,-0.284300,0.234029,0.152393
1.150000,0.293999,0.000038,0.593700,1.999992,0.000260,0.000000,0.000128,0.000000,0.030404,0.001077,0.610158,0.581618,0.003110,0.158974,0.401669,0.401669,-0.395580,-0.395580,0.521209,0.521987,-0.282737,-0.282367,0.231835,0.152005
1.162000,0.317999,0.000041,0.593700,1.999992,0.000260,0.000000,0.000128,0.000000,0.037597,0.001117,0.612206,0.637321,0.003086,0.168321,0.401665,0.401665,-0.395575,-0.395575,0.524642,0.525398,-0.281166,-0.280867,0.229792,0.151471
1.172000,0.337999,0.000044,0.593700,1.999991,0.000260,0.000000,0.000128,0.000000,0.044135,0.001148,0.613967,0.682934,0.003104,0.184029,0.401661,0.401661,-0.395572,-0.395572,0.526801,0.527535,-0.280508,-0.280294,0.228633,0.151014
1.182000,0.357999,0.000046,0.593700,1.999992,0.000259,0.000000,0.000128,0.000000,0.051137,0.001176,0.615741,0.730871,0.002884,0.178079,0.401658,0.401658,-0.395568,-0.395568,0.528402,0.529094,-0.280414,-0.280153,0.227872,0.150583
1.192000,0.377999,0.000049,0.593700,1.999992,0.000260,0.000000,0.000128,0.000000,0.058668,0.001208,0.617693,0.776688,0.002920,0.194398,0.401655,0.401655,-0.395565,-0.395565,0.529374,0.530033,-0.280915,-0.280680,0.227654,0.150083
1.202000,0.397999,0.000051,0.593700,1.999993,0.000259,0.000000,0.000128,0.000000,0.066657,0.001235,0.619497,0.822680,0.002870,0.183238,0.401651,0.401651,-0.395562,-0.395562,0.529831,0.530470,-0.282072,-0.281772,0.227955,0.149661
1.212000,0.417999,0.000054,0.593700,1.999994,0.000259,0.000000,0.000128,0.000000,0.075078,0.001265,0.621474,0.862331,0.002890,0.189154,0.401648,0.401648,-0.395559,-0.395559,0.529791,0.530405,-0.283704,-0.283427,0.228663,0.149166
1.222000,0.437999,0.000057,0.593700,1.999994,0.000259,0.000000,0.000128,0.000000,0.083901,0.001292,0.623221,0.904334,0.002833,0.175363,0.401647,0.401647,-0.395557,-0.395557,0.529315,0.529930,-0.285677,-0.285361,0.229655,0.148752
1.232000,0.457999,0.000059,0.593700,1.999995,0.000259,0.000000,0.000128,0.000000,0.093648,0.001322,0.625031,0.972580,0.002667,0.169007,0.401652,0.401652,-0.395562,-0.395562,0.528364,0.528958,-0.288480,-0.288160,0.231300,0.148298
1.242000,0.477999,0.000062,0.593700,1.999995,0.000259,0.000000,0.000128,0.000000,0.103355,0.001347,0.626694,0.996240,0.002558,0.164041,0.401666,0.401666,-0.395577,-0.395577,0.527034,0.527597,-0.291213,-0.291120,0.233040,0.147888
1.252000,0.497999,0.000064,0.593700,1.999995,0.000259,0.000000,0.000128,0.000000,0.113430,0.001373,0.628350,1.028632,0.002632,0.155147,0.401692,0.401692,-0.395603,-0.395603,0.525317,0.525825,-0.294060,-0.294180,0.234886,0.147503
1.262000,0.517999,0.000067,0.593700,1.999995,0.000259,0.000000,0.000128,0.000000,0.123911,0.001398,0.629917,1.069456,0.002403,0.154168,0.401732,0.401732,-0.395643,-0.395643,0.523176,0.523665,-0.296913,-0.297131,0.236678,0.147126
1.272000,0.537999,0.000070,0.593700,1.999995,0.000259,0.000000,0.000128,0.000000,0.134833,0.001428,0.631343,1.112985,0.002947,0.141970,0.401783,0.401783,-0.395694,-0.395694,0.520633,0.521078,-0.300058,-0.300352,0.238749,0.146781
1.282000,0.557998,0.000072,0.593700,1.999996,0.000258,0.000000,0.000128,0.000000,0.146193,0.001459,0.632820,1.158063,0.003219,0.143091,0.401842,0.401842,-0.395753,-0.395753,0.517651,0.518044,-0.303368,-0.303640,0.240886,0.146427
1.292000,0.577998,0.000075,0.593700,1.999996,0.000258,0.000000,0.000128,0.000000,0.157994,0.001493,0.634185,1.200206,0.003378,0.134229,0.401909,0.401909,-0.395819,-0.395819,0.514269,0.514610,-0.306889,-0.307191,0.243247,0.146106
1.302000,0.597998,0.000077,0.593700,1.999996,0.000258,0.000000,0.000128,0.000000,0.171631,0.001542,0.635647,1.376082,0.005716,0.138149,0.401985,0.401985,-0.395896,-0.395896,0.510454,0.510749,-0.311050,-0.310985,0.246440,0.145709
1.312000,0.617998,0.000080,0.593700,1.999996,0.000258,0.000000,0.000128,0.000000,0.184744,0.001572,0.636828,1.367298,0.003468,0.114573,0.402076,0.402076,-0.395986,-0.395986,0.506166,0.506368,-0.316403,-0.316655,0.249698,0.145442
1.322000,0.637998,0.000082,0.593700,1.999997,0.000258,0.000000,0.000128,0.000000,0.198035,0.001612,0.637902,1.356707,0.004225,0.096515,0.402187,0.402187,-0.396097,-0.396097,0.501573,0.501648,-0.321427,-0.321978,0.253541,0.145186
1.332000,0.657998,0.000085,0.593700,1.999997,0.000258,0.000000,0.000128,0.000000,0.211618,0.001655,0.638852,1.378972,0.004358,0.091416,0.402326,0.402326,-0.396237,-0.396237,0.496581,0.496566,-0.326052,-0.326842,0.257026,0.144943
1.342000,0.677998,0.000088,0.593700,1.999997,0.000258,0.000000,0.000128,0.000000,0.225567,0.001703,0.639614,1.413054,0.005127,0.066035,0.402495,0.402495,-0.396406,-0.396406,0.491253,0.491120,-0.330510,-0.331455,0.260390,0.144764
1.352000,0.697998,0.000090,0.593700,1.999997,0.000258,0.000000,0.000128,0.000000,0.239937,0.001756,0.640327,1.455131,0.005538,0.063191,0.402696,0.402696,-0.396607,-0.396607,0.485493,0.485264,-0.335010,-0.336078,0.263802,0.144574
1.362000,0.717998,0.000093,0.593700,1.999998,0.000257,0.000000,0.000128,0.000000,0.254731,0.001808,0.640741,1.499244,0.005539,0.040780,0.402930,0.402930,-0.396841,-0.396841,0.479365,0.479022,-0.339605,-0.340632,0.267292,0.144481
1.372000,0.737998,0.000095,0.593700,1.999998,0.000257,0.000000,0.000128,0.000000,0.269945,0.001871,0.641191,1.539425,0.006394,0.026911,0.403198,0.403198,-0.397108,-0.397108,0.472847,0.472365,-0.344217,-0.345220,0.270801,0.144342
1.382000,0.757998,0.000098,0.593700,1.999998,0.000257,0.000000,0.000128,0.000000,0.286142,0.001945,0.641351,1.625233,0.007444,0.018467,0.403501,0.403501,-0.397412,-0.397412,0.465945,0.465322,-0.349273,-0.350249,0.274677,0.144271
1.392000,0.777998,0.000101,0.593700,1.999998,0.000257,0.000000,0.000128,0.000000,0.302843,0.002030,0.641372,1.686910,0.007708,-0.004794,0.403840,0.403840,-0.397751,-0.397751,0.458685,0.457936,-0.354746,-0.355821,0.279009,0.144226
1.402000,0.797998,0.000103,0.593700,1.999998,0.000257,0.000000,0.000128,0.000000,0.319556,0.002118,0.641382,1.693522,0.008369,-0.010945,0.404212,0.404212,-0.398122,-0.398122,0.451190,0.450391,-0.360246,-0.361518,0.283555,0.144166
1.414000,0.821998,0.000106,0.593700,1.999999,0.000257,0.000000,0.000128,0.000000,0.340006,0.002224,0.640994,1.722575,0.008286,-0.037998,0.404708,0.404708,-0.398618,-0.398618,0.442233,0.441499,-0.366657,-0.367917,0.288922,0.144218
1.424000,0.841998,0.000109,0.593700,1.999999,0.000257,0.000000,0.000128,0.000000,0.357445,0.002291,0.640482,1.755644,0.006204,-0.066314,0.405170,0.405170,-0.399081,-0.399081,0.434899,0.434284,-0.372014,-0.373051,0.293395,0.144322
1.434000,0.861998,0.000111,0.593700,1.999999,0.000257,0.000000,0.000128,0.000000,0.375881,0.002353,0.639978,1.834395,0.006715,-0.070456,0.405677,0.405677,-0.399587,-0.399587,0.427724,0.427267,-0.377767,-0.378543,0.297997,0.144401
1.444000,0.881998,0.000114,0.593700,1.999999,0.000257,0.000000,0.000128,0.000000,0.394054,0.002411,0.639263,1.840239,0.004758,-0.063063,0.406224,0.406224,-0.400135,-0.400135,0.420882,0.420571,-0.383342,-0.383879,0.302629,0.144546
1.454000,0.901998,0.000116,0.593700,1.999998,0.000257,0.000000,0.000128,0.000000,0.412518,0.002448,0.638469,1.864764,0.003145,-0.076517,0.406800,0.406800,-0.400711,-0.400711,0.414479,0.414235,-0.388690,-0.388908,0.307048,0.144738
1.464000,0.921998,0.000119,0.593700,1.999998,0.000257,0.000000,0.000128,0.000000,0.431377,0.002471,0.637635,1.903150,0.002023,-0.075856,0.407389,0.407389,-0.401300,-0.401300,0.408321,0.408141,-0.394051,-0.393888,0.311458,0.144952
1.474000,0.941998,0.000122,0.593700,1.999997,0.000257,0.000000,0.000128,0.000000,0.450646,0.002488,0.636872,1.943673,0.001087,-0.082212,0.407975,0.407975,-0.401886,-0.401886,0.402383,0.402248,-0.399283,-0.398768,0.313389,0.145117
1.484000,0.961998,0.000124,0.593700,1.999996,0.000257,0.000000,0.000128,0.000000,0.470361,0.002496,0.636120,1.988858,0.000352,-0.078182,0.408550,0.408550,-0.402461,-0.402461,0.396618,0.396437,-0.404550,-0.403687,0.309154,0.145311
1.494000,0.981998,0.000127,0.593700,1.999996,0.000256,0.000000,0.000128,0.000000,0.490538,0.002498,0.635373,2.035310,-0.000222,-0.076010,0.409113,0.409113,-0.403023,-0.403023,0.390949,0.390735,-0.409875,-0.408679,0.305002,0.145509
1.504000,1.001998,0.000129,0.593700,1.999995,0.000256,0.000000,0.000128,0.000000,0.511177,0.002495,0.634688,2.081575,-0.000696,-0.071201,0.409658,0.409658,-0.403569,-0.403569,0.385343,0.385101,-0.415234,-0.413731,0.300865,0.145690
1.514000,1.021998,0.000132,0.593700,1.999994,0.000257,0.000000,0.000128,0.000000,0.532362,0.002489,0.634057,2.133945,-0.001024,-0.064940,0.410189,0.410189,-0.404099,-0.404099,0.379777,0.379445,-0.420604,-0.418954,0.296665,0.145841
1.524000,1.041998,0.000134,0.593700,1.999993,0.000257,0.000000,0.000128,0.000000,0.554168,0.002482,0.633438,2.194233,-0.000827,-0.065190,0.410708,0.410708,-0.404619,-0.404619,0.374117,0.373791,-0.425935,-0.424222,0.292404,0.145998
1.534000,1.061998,0.000137,0.593700,1.999992,0.000256,0.000000,0.000128,0.000000,0.576642,0.002462,0.632815,2.253029,-0.001094,-0.058106,0.411222,0.411222,-0.405133,-0.405133,0.368233,0.367920,-0.431365,-0.429526,0.288046,0.146153
1.544000,1.081998,0.000140,0.593700,1.999990,0.000257,0.000000,0.000128,0.000000,0.599995,0.002434,0.632117,2.348880,-0.003661,-0.067237,0.411733,0.411733,-0.405643,-0.405643,0.362257,0.361814,-0.436751,-0.434946,0.283341,0.146289
1.554000,1.101997,0.000142,0.593700,1.999988,0.000257,0.000000,0.000128,0.000000,0.623822,0.002386,0.631619,2.402951,-0.004979,-0.057036,0.412238,0.412238,-0.406149,-0.406149,0.356195,0.355066,-0.442163,-0.440432,0.278551,0.146420
1.564000,1.121997,0.000145,0.593700,1.999989,0.000258,0.000000,0.000128,0.000000,0.647749,0.002396,0.630670,2.421030,0.000326,-0.094764,0.412744,0.412744,-0.406655,-0.406655,0.349940,0.348642,-0.447494,-0.445897,0.273965,0.146628
1.574000,1.141997,0.000147,0.593700,1.999985,0.000257,0.000000,0.000128,0.000000,0.672850,0.002350,0.630206,2.502326,-0.002724,-0.057679,0.413248,0.413248,-0.407159,-0.407159,0.343435,0.341832,-0.452837,-0.451280,0.268843,0.146772
1.584000,1.161997,0.000150,0.593700,1.999985,0.000258,0.000000,0.000128,0.000000,0.698252,0.002349,0.629451,2.564307,-0.001330,-0.055428,0.413748,0.413748,-0.407659,-0.407659,0.336822,0.335053,-0.458126,-0.456666,0.263547,0.146900
1.594000,1.181997,0.000152,0.593700,1.999977,0.000257,0.000000,0.000128,0.000000,0.724052,0.002294,0.628607,2.613409,-0.006232,-0.079667,0.414246,0.414246,-0.408157,-0.408157,0.330496,0.328235,-0.463421,-0.461967,0.258694,0.147115
1.604000,1.201997,0.000155,0.593700,1.999968,0.000261,0.000000,0.000128,0.000000,0.750188,0.002323,0.627831,2.640547,0.001976,-0.080745,0.414740,0.414740,-0.408651,-0.408651,0.324053,0.321622,-0.468678,-0.467370,0.253794,0.147247
1.614000,1.221996,0.000158,0.593700,1.999955,0.000259,0.000000,0.000128,0.000000,0.777179,0.002288,0.627095,2.709181,-0.003745,-0.077068,0.415232,0.415232,-0.409142,-0.409142,0.317635,0.315076,-0.473931,-0.472712,0.248835,0.147397
