time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Rollt,Pitcht,Yawt,Rollc,Pitchc,Yawc,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy,Forcex,Forcey,Forcez
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,-0.000000,0.000000,0.593700,0.000000,-0.000000,-0.000000,-0.002347,0.001216,0.596314,0.002672,-0.001071,0.012952,0.000000,0.000000,-0.000315,-0.000140,0.000585,-0.000355,0.401545,0.401545,-0.395455,-0.395455,0.404490,0.402853,-0.393761,-0.394940,0.234832,-0.234832,0.234832,-0.234832,0.233049,-0.236223,0.233161,-0.236820,0.330703,0.156288,0.000000,0.000000,0.000000
1.010000,0.014000,-0.000004,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.000102,0.000000,0.593698,0.025153,0.000039,-0.000372,-0.002139,0.001207,0.596468,-0.047745,-0.000497,0.024953,0.000000,0.000000,-0.000315,-0.000144,0.001402,-0.000366,0.401545,0.401545,-0.395455,-0.395455,0.405092,0.403461,-0.392940,-0.394168,0.234832,-0.234832,0.234832,-0.234832,0.233063,-0.236207,0.233169,-0.236807,0.330805,0.156253,0.000000,0.000000,0.000000
1.020000,0.034000,-0.000011,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.000500,0.000001,0.593694,0.054125,0.000082,-0.000559,-0.002538,0.001199,0.596735,-0.137731,-0.002097,0.031989,0.000000,0.000000,-0.000315,-0.000202,0.003102,-0.000387,0.401545,0.401545,-0.395455,-0.395455,0.411301,0.409755,-0.385839,-0.387089,0.234832,-0.234832,0.234832,-0.234832,0.233118,-0.236145,0.233208,-0.236765,0.325458,0.156191,0.000000,0.000000,0.000000
1.030000,0.054000,-0.000017,0.593700,2.000000,-0.000630,0.000000,-0.000315,0.000000,0.001176,0.000002,0.593688,0.080645,0.000099,-0.000522,-0.003350,0.001207,0.597049,-0.120874,0.000572,0.049938,-0.000720,-0.000790,-0.000316,-0.000197,0.002169,-0.000386,0.401545,0.401545,-0.395455,-0.395455,0.421553,0.420085,-0.374724,-0.375933,0.234832,-0.234832,0.234832,-0.234832,0.233099,-0.236157,0.233191,-0.236782,0.315843,0.156091,0.000000,0.000000,0.000000
1.040000,0.074000,-0.000023,0.593700,1.999997,-0.000629,0.000000,-0.000315,0.000000,0.002102,0.000003,0.593643,0.104114,0.000081,-0.013032,-0.003795,0.001228,0.597777,-0.048733,0.001295,0.084815,-0.000575,-0.001823,-0.000314,-0.000320,-0.001191,-0.000364,0.401545,0.401545,-0.395455,-0.395455,0.433206,0.431820,-0.362254,-0.363362,0.234832,-0.234832,0.234832,-0.234832,0.233144,-0.236114,0.233249,-0.236722,0.304814,0.155878,0.000000,0.000000,0.000000
1.050000,0.094000,-0.000030,0.593700,1.999994,-0.000629,0.000000,-0.000315,0.000000,0.003256,0.000003,0.593413,0.127103,0.000027,-0.033032,-0.003518,0.001237,0.598544,0.037822,0.000309,0.082447,-0.000526,-0.002373,-0.000313,-0.000398,-0.005004,-0.000326,0.401545,0.401545,-0.395455,-0.395455,0.444704,0.443486,-0.349810,-0.350782,0.234832,-0.234832,0.234832,-0.234832,0.233159,-0.236086,0.233303,-0.236665,0.293937,0.155671,0.000000,0.000000,0.000000
1.060000,0.114000,-0.000036,0.593700,1.999994,-0.000628,0.000000,-0.000315,0.000000,0.004654,0.000003,0.592983,0.152809,-0.000045,-0.053032,-0.002654,0.001258,0.599435,0.109611,0.002228,0.073867,-0.000803,-0.002377,-0.000308,-0.000477,-0.008559,-0.000285,0.401545,0.401545,-0.395455,-0.395455,0.455768,0.454662,-0.337987,-0.338883,0.234832,-0.234832,0.234832,-0.234832,0.233129,-0.236056,0.233339,-0.236627,0.283630,0.155396,0.000000,0.000000,0.000000
1.070000,0.134000,-0.000042,0.593700,1.999994,-0.000628,0.000000,-0.000315,0.000000,0.006314,0.000002,0.592352,0.179326,-0.000129,-0.073032,-0.001256,0.001289,0.600347,0.172485,0.002825,0.080495,-0.000651,-0.002467,-0.000308,-0.000591,-0.011805,-0.000242,0.401545,0.401545,-0.395455,-0.395455,0.466289,0.465342,-0.327170,-0.328029,0.234832,-0.234832,0.234832,-0.234832,0.233004,-0.235931,0.233403,-0.236562,0.274093,0.155082,0.000000,0.000000,0.000000
1.080000,0.154000,-0.000048,0.593700,1.999994,-0.000628,0.000000,-0.000315,0.000000,0.008238,0.000001,0.591522,0.205215,-0.000208,-0.093032,0.000527,0.001288,0.601417,0.220272,0.002170,0.108741,-0.000854,-0.002553,-0.000303,-0.000654,-0.015155,-0.000205,0.401545,0.401545,-0.395455,-0.395455,0.476123,0.475353,-0.317549,-0.318327,0.234832,-0.234832,0.234832,-0.234832,0.232955,-0.235800,0.233436,-0.236527,0.265441,0.154777,0.000000,0.000000,0.000000
1.090000,0.174000,-0.000055,0.593700,1.999993,-0.000628,0.000000,-0.000315,0.000000,0.010417,-0.000002,0.590492,0.230176,-0.000279,-0.113032,0.002851,0.001280,0.602326,0.276631,-0.001063,0.109085,-0.000931,-0.002685,-0.000298,-0.000730,-0.018885,-0.000170,0.401545,0.401545,-0.395455,-0.395455,0.485146,0.484539,-0.309077,-0.309894,0.234832,-0.234832,0.234832,-0.234832,0.232984,-0.235692,0.233486,-0.236476,0.257822,0.154542,0.000000,0.000000,0.000000
