time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,ux,uy
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,0.000128,0.000000,-0.000126,0.000758,0.596303,-0.005093,0.000948,0.013624,0.401545,0.401545,-0.395455,-0.395455,0.407212,0.408531,-0.390934,-0.391208,0.327970,0.155901
1.010000,0.007000,0.000001,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,-0.000150,0.000768,0.596469,-0.024371,0.001059,0.026356,0.401558,0.401558,-0.395469,-0.395469,0.407671,0.408989,-0.390412,-0.390686,0.327728,0.155849
1.020000,0.017000,0.000002,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,-0.000235,0.000778,0.596779,-0.041105,0.001124,0.035221,0.401599,0.401599,-0.395510,-0.395510,0.410822,0.412106,-0.386719,-0.387006,0.324785,0.155758
1.030000,0.027000,0.000003,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,-0.000089,0.000790,0.597143,0.001106,0.001223,0.040536,0.401652,0.401652,-0.395563,-0.395563,0.415405,0.416572,-0.381065,-0.381400,0.320029,0.155653
1.040000,0.037000,0.000005,0.593700,0.999999,0.000128,0.000000,0.000128,0.000000,0.000498,0.000816,0.597528,0.067772,0.001664,0.042828,0.401707,0.401707,-0.395618,-0.395618,0.420376,0.421390,-0.374890,-0.375292,0.314708,0.155518
1.050000,0.047000,0.000006,0.593700,0.999999,0.000128,0.000000,0.000128,0.000000,0.001628,0.000829,0.597946,0.131264,0.001393,0.036440,0.401747,0.401747,-0.395657,-0.395657,0.425145,0.425994,-0.368884,-0.369360,0.309550,0.155412
1.060000,0.057000,0.000007,0.593700,0.999999,0.000128,0.000000,0.000128,0.000000,0.003844,0.000846,0.598262,0.226485,0.001438,0.038323,0.401782,0.401782,-0.395692,-0.395692,0.429434,0.430141,-0.363945,-0.364488,0.305186,0.155300
1.070000,0.067000,0.000009,0.593700,0.999999,0.000128,0.000000,0.000128,0.000000,0.006131,0.000860,0.598742,0.261457,0.001264,0.039281,0.401815,0.401815,-0.395726,-0.395726,0.433248,0.433819,-0.359514,-0.360159,0.301343,0.155153
1.080000,0.077000,0.000010,0.593700,0.999999,0.000128,0.000000,0.000128,0.000000,0.008914,0.000869,0.598946,0.314086,0.001221,0.024739,0.401854,0.401854,-0.395764,-0.395764,0.436416,0.436905,-0.355788,-0.356388,0.298060,0.155118
1.090000,0.087000,0.000011,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.012227,0.000883,0.599293,0.365262,0.001353,0.031819,0.401899,0.401899,-0.395809,-0.395809,0.438849,0.439258,-0.352867,-0.353472,0.295420,0.155001
1.100000,0.097000,0.000012,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.016054,0.000898,0.599544,0.417502,0.001631,0.017462,0.401944,0.401944,-0.395855,-0.395855,0.440580,0.440917,-0.350522,-0.351183,0.293379,0.154937
1.110000,0.107000,0.000014,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.020432,0.000911,0.599737,0.472008,0.001446,0.021901,0.401993,0.401993,-0.395904,-0.395904,0.441518,0.441824,-0.349069,-0.349783,0.292034,0.154870
