time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Rollt,Pitcht,Yawt,Rollc,Pitchc,Yawc,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy,Forcex,Forcey,Forcez
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,-0.000315,0.000000,-0.000000,0.000000,0.593700,0.000000,-0.000000,-0.000000,-0.002347,0.001216,0.596314,0.002672,-0.001071,0.012952,0.000000,0.000000,-0.000315,-0.000140,0.000585,-0.000355,0.401545,0.401545,-0.395455,-0.395455,0.404490,0.402853,-0.393761,-0.394940,0.234832,-0.234832,0.234832,-0.234832,0.233049,-0.236223,0.233161,-0.236820,0.330703,0.156288,0.000000,0.000000,0.000000
1.010000,0.007000,-0.000002,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.000102,0.000000,0.593698,0.025221,0.000014,-0.000382,-0.002293,0.001206,0.596484,-0.017409,-0.000757,0.027500,0.000000,0.000000,-0.000315,-0.000141,0.000609,-0.000360,0.401545,0.401545,-0.395455,-0.395455,0.404923,0.403285,-0.393148,-0.394380,0.234832,-0.234832,0.234832,-0.234832,0.233060,-0.236209,0.233170,-0.236807,0.330412,0.156249,0.000000,0.000000,0.000000
1.020000,0.017000,-0.000005,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.000501,0.000000,0.593693,0.054251,0.000020,-0.000570,-0.002318,0.001200,0.596794,-0.038300,-0.000368,0.036290,0.000000,0.000000,-0.000315,-0.000142,0.000179,-0.000364,0.401545,0.401545,-0.395455,-0.395455,0.408110,0.406523,-0.389153,-0.390465,0.234832,-0.234832,0.234832,-0.234832,0.233069,-0.236196,0.233172,-0.236801,0.327279,0.156167,0.000000,0.000000,0.000000
1.030000,0.027000,-0.000009,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.001183,0.000000,0.593687,0.082325,0.000013,-0.000679,-0.002111,0.001196,0.597121,0.009007,-0.000203,0.039781,0.000000,0.000000,-0.000315,-0.000142,-0.000745,-0.000357,0.401545,0.401545,-0.395455,-0.395455,0.412813,0.411319,-0.383404,-0.384689,0.234832,-0.234832,0.234832,-0.234832,0.233072,-0.236194,0.233180,-0.236791,0.322402,0.156087,0.000000,0.000000,0.000000
1.040000,0.037000,-0.000012,0.593700,1.000000,-0.000315,0.000000,-0.000315,0.000000,0.002153,0.000000,0.593608,0.111881,-0.000003,-0.017440,-0.001457,0.001208,0.597562,0.072126,0.000341,0.039296,-0.000641,-0.000928,-0.000314,-0.000241,-0.001878,-0.000343,0.401545,0.401545,-0.395455,-0.395455,0.417930,0.416517,-0.377153,-0.378480,0.234832,-0.234832,0.234832,-0.234832,0.233115,-0.236153,0.233229,-0.236739,0.317025,0.155935,0.000000,0.000000,0.000000
1.050000,0.047000,-0.000015,0.593700,0.999999,-0.000315,0.000000,-0.000315,0.000000,0.003424,0.000000,0.593334,0.142379,-0.000029,-0.037440,-0.000264,0.001208,0.597887,0.140420,0.000252,0.035587,-0.000632,-0.001066,-0.000313,-0.000336,-0.003057,-0.000315,0.401545,0.401545,-0.395455,-0.395455,0.422808,0.421420,-0.371030,-0.372322,0.234832,-0.234832,0.234832,-0.234832,0.233161,-0.236108,0.233295,-0.236673,0.311687,0.155861,0.000000,0.000000,0.000000
1.060000,0.057000,-0.000018,0.593700,0.999999,-0.000315,0.000000,-0.000315,0.000000,0.005001,-0.000000,0.592859,0.172915,-0.000057,-0.057440,0.001484,0.001209,0.598391,0.200115,0.000136,0.046248,-0.000686,-0.001091,-0.000312,-0.000419,-0.004092,-0.000293,0.401545,0.401545,-0.395455,-0.395455,0.427303,0.425943,-0.365519,-0.366831,0.234832,-0.234832,0.234832,-0.234832,0.233203,-0.236067,0.233351,-0.236615,0.306843,0.155725,0.000000,0.000000,0.000000
1.070000,0.067000,-0.000021,0.593700,0.999999,-0.000315,0.000000,-0.000315,0.000000,0.006884,-0.000001,0.592185,0.203899,-0.000084,-0.077440,0.003770,0.001210,0.598674,0.260782,0.000191,0.026687,-0.000684,-0.001076,-0.000312,-0.000494,-0.005005,-0.000274,0.401545,0.401545,-0.395455,-0.395455,0.431293,0.429966,-0.360680,-0.361940,0.234832,-0.234832,0.234832,-0.234832,0.233238,-0.236032,0.233401,-0.236564,0.302603,0.155644,0.000000,0.000000,0.000000
1.080000,0.077000,-0.000024,0.593700,0.999999,-0.000315,0.000000,-0.000315,0.000000,0.009077,-0.000002,0.591311,0.234520,-0.000106,-0.097440,0.006608,0.001213,0.599050,0.317488,0.000356,0.035706,-0.000724,-0.001163,-0.000311,-0.000563,-0.005729,-0.000262,0.401545,0.401545,-0.395455,-0.395455,0.434561,0.433291,-0.356771,-0.358035,0.234832,-0.234832,0.234832,-0.234832,0.233271,-0.235999,0.233443,-0.236521,0.299103,0.155543,0.000000,0.000000,0.000000
1.090000,0.087000,-0.000027,0.593700,0.999999,-0.000315,0.000000,-0.000315,0.000000,0.011573,-0.000003,0.590236,0.264578,-0.000127,-0.117440,0.009970,0.001211,0.599351,0.371754,-0.000137,0.022698,-0.000623,-0.001063,-0.000311,-0.000615,-0.006400,-0.000243,0.401545,0.401545,-0.395455,-0.395455,0.437103,0.435917,-0.353635,-0.354768,0.234832,-0.234832,0.234832,-0.234832,0.233297,-0.235973,0.233482,-0.236482,0.296278,0.155468,0.000000,0.000000,0.000000
