time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pwx,Pwy,Pwz,Vwx,Vwy,Vwz
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,0.000128,0.000000,-0.000126,0.000758,0.596303,-0.005093,0.000948,0.013624,0.008335,-0.001132,0.000006,-0.004268,-0.000104,-0.000000
1.010000,0.010500,0.000001,0.593700,1.500000,0.000192,0.000000,0.000128,0.000000,0.000076,0.000770,0.596477,-0.024371,0.001361,0.028754,0.008940,-0.001133,0.000004,0.125819,-0.000157,-0.000240
1.020000,0.025500,0.000003,0.593700,1.500000,0.000192,0.000000,0.000128,0.000000,0.000754,0.000782,0.596818,-0.026005,0.001494,0.046865,0.013741,-0.001134,-0.000001,0.485371,-0.000070,0.000080
1.030000,0.040500,0.000005,0.593700,1.499999,0.000193,0.000000,0.000128,0.000000,0.000626,0.000807,0.597324,-0.032837,0.001833,0.055464,0.020680,-0.001136,-0.000008,0.724618,0.000080,0.001320
1.040000,0.055500,0.000007,0.593700,1.499999,0.000193,0.000000,0.000128,0.000000,0.000817,0.000828,0.597886,0.018709,0.001744,0.060164,0.029145,-0.001135,-0.000007,0.855161,-0.000088,0.000395
1.050000,0.070500,0.000009,0.593700,1.499998,0.000193,0.000000,0.000128,0.000000,0.001513,0.000836,0.598544,0.086934,0.001077,0.070509,0.038189,-0.001134,-0.000007,0.901165,0.000072,-0.003263
1.060000,0.085500,0.000011,0.593700,1.499998,0.000193,0.000000,0.000128,0.000000,0.002755,0.000849,0.599201,0.147732,0.001212,0.052914,0.047404,-0.001133,-0.000025,0.920378,-0.000046,0.003930
1.070000,0.100500,0.000013,0.593700,1.499998,0.000193,0.000000,0.000128,0.000000,0.004543,0.000851,0.599893,0.208541,0.000300,0.067168,0.056524,-0.001131,-0.000020,0.910316,0.000300,-0.002738
1.080000,0.115500,0.000015,0.593700,1.499998,0.000193,0.000000,0.000128,0.000000,0.006842,0.000862,0.600412,0.267474,0.000872,0.054630,0.065441,-0.001129,-0.000018,0.883991,0.000198,0.000502
1.090000,0.130500,0.000017,0.593700,1.499998,0.000193,0.000000,0.000128,0.000000,0.009669,0.000868,0.601105,0.319432,0.000714,0.057545,0.074010,-0.001127,-0.000033,0.856764,0.000266,0.001983
1.100000,0.145500,0.000019,0.593700,1.499998,0.000193,0.000000,0.000128,0.000000,0.013042,0.000875,0.601642,0.377492,0.000785,0.063634,0.082199,-0.001124,-0.000018,0.812721,0.000228,-0.001780
1.110000,0.160500,0.000021,0.593700,1.499998,0.000193,0.000000,0.000128,0.000000,0.016934,0.000881,0.602311,0.428192,0.000631,0.058716,0.090035,-0.001121,-0.000032,0.780827,0.000365,0.003273
1.120000,0.175500,0.000023,0.593700,1.499997,0.000193,0.000000,0.000128,0.000000,0.021376,0.000890,0.602952,0.482253,0.000958,0.071007,0.097468,-0.001118,-0.000020,0.739603,0.000262,-0.001772
1.130000,0.190500,0.000024,0.593700,1.499997,0.000193,0.000000,0.000128,0.000000,0.026329,0.000898,0.603608,0.531327,0.000805,0.061872,0.104644,-0.001116,-0.000027,0.715625,0.000382,0.003458
1.140000,0.205500,0.000026,0.593700,1.499997,0.000193,0.000000,0.000128,0.000000,0.031818,0.000909,0.604352,0.583009,0.001147,0.078263,0.111528,-0.001113,-0.000019,0.686239,0.000229,-0.002629
1.150000,0.220500,0.000028,0.593700,1.499997,0.000193,0.000000,0.000128,0.000000,0.037789,0.000920,0.605138,0.628649,0.001152,0.070193,0.118279,-0.001110,-0.000031,0.676406,0.000269,0.002685
1.162000,0.238500,0.000031,0.593700,1.499997,0.000193,0.000000,0.000128,0.000000,0.045652,0.000932,0.605996,0.691044,0.001285,0.078641,0.126177,-0.001106,-0.000017,0.654322,0.000227,-0.002257
1.172000,0.253500,0.000033,0.593700,1.499997,0.000193,0.000000,0.000128,0.000000,0.052737,0.000943,0.606763,0.736187,0.001201,0.070317,0.132691,-0.001103,-0.000026,0.654104,0.000280,0.001800
1.182000,0.268500,0.000035,0.593700,1.499997,0.000193,0.000000,0.000128,0.000000,0.060570,0.000952,0.607432,0.808395,0.000664,0.071991,0.139395,-0.001101,-0.000012,0.660625,0.000657,-0.001287
1.192000,0.283500,0.000036,0.593700,1.499998,0.000193,0.000000,0.000128,0.000000,0.068724,0.000967,0.608242,0.843553,0.001140,0.072184,0.145823,-0.001097,-0.000021,0.649341,0.000319,-0.000463
