time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pwx,Pwy,Pwz,Vwx,Vwy,Vwz
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,0.000128,0.000000,-0.000126,0.000758,0.596303,-0.005093,0.000948,0.013624,0.008335,-0.001132,0.000006,-0.004268,-0.000104,-0.000000
1.010000,0.014000,0.000002,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,-0.000006,0.000770,0.596466,-0.055094,0.001460,0.025751,0.008913,-0.001133,0.000004,0.122700,-0.000056,0.000247
1.020000,0.034000,0.000004,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,-0.000477,0.000783,0.596690,-0.141386,0.000419,0.029207,0.014226,-0.001136,0.000003,0.609781,0.000978,0.001403
1.030000,0.054000,0.000007,0.593700,2.000000,0.000256,0.000000,0.000128,0.000000,-0.001357,0.000805,0.597137,-0.128243,0.001750,0.054155,0.023461,-0.001136,-0.000009,0.959304,0.000173,0.001408
1.040000,0.074000,0.000009,0.593700,1.999996,0.000257,0.000000,0.000128,0.000000,-0.001847,0.000843,0.597797,-0.055743,0.003017,0.078016,0.034719,-0.001136,-0.000018,1.133205,-0.000154,0.000095
1.050000,0.094000,0.000012,0.593700,1.999996,0.000258,0.000000,0.000128,0.000000,-0.001706,0.000870,0.598645,0.026053,0.002153,0.079886,0.046698,-0.001136,-0.000032,1.194836,0.000373,0.002910
1.060000,0.114000,0.000015,0.593700,1.999996,0.000258,0.000000,0.000128,0.000000,-0.000873,0.000879,0.599495,0.105387,0.001857,0.086048,0.058810,-0.001131,-0.000032,1.205992,-0.000028,0.000087
1.070000,0.134000,0.000017,0.593700,1.999995,0.000258,0.000000,0.000128,0.000000,0.000452,0.000903,0.600360,0.166877,0.002179,0.099471,0.070641,-0.001131,-0.000024,1.176142,0.000139,-0.006089
1.080000,0.154000,0.000020,0.593700,1.999995,0.000258,0.000000,0.000128,0.000000,0.002214,0.000908,0.601274,0.219196,-0.000131,0.092088,0.082068,-0.001129,-0.000036,1.135332,0.001139,-0.001213
1.090000,0.174000,0.000022,0.593700,1.999994,0.000259,0.000000,0.000128,0.000000,0.004472,0.000901,0.602238,0.270729,0.000761,0.087711,0.093015,-0.001121,-0.000052,1.091632,0.000099,0.004083
1.100000,0.194000,0.000025,0.593700,1.999994,0.000259,0.000000,0.000128,0.000000,0.007287,0.000921,0.603377,0.324742,0.002514,0.108887,0.103422,-0.001118,-0.000059,1.040027,-0.000206,0.000594
1.110000,0.214000,0.000028,0.593700,1.999993,0.000259,0.000000,0.000128,0.000000,0.011129,0.000953,0.604484,0.411481,0.002992,0.129287,0.113639,-0.001117,-0.000048,0.987097,0.000021,-0.004196
1.120000,0.234000,0.000030,0.593700,1.999993,0.000259,0.000000,0.000128,0.000000,0.015145,0.000981,0.605638,0.448654,0.003036,0.125136,0.122963,-0.001115,-0.000052,0.928548,0.000260,0.001427
1.130000,0.253999,0.000033,0.593700,1.999992,0.000259,0.000000,0.000128,0.000000,0.019628,0.001009,0.607099,0.487931,0.003171,0.141340,0.131791,-0.001112,-0.000064,0.884652,0.000218,0.001281
1.140000,0.273999,0.000035,0.593700,1.999992,0.000259,0.000000,0.000128,0.000000,0.024594,0.001045,0.608567,0.535391,0.003458,0.157828,0.140326,-0.001109,-0.000054,0.848713,0.000267,-0.002815
1.150000,0.293999,0.000038,0.593700,1.999992,0.000260,0.000000,0.000128,0.000000,0.030051,0.001079,0.610128,0.579536,0.003600,0.158162,0.148572,-0.001106,-0.000061,0.825692,0.000357,0.001117
1.162000,0.317999,0.000041,0.593700,1.999992,0.000260,0.000000,0.000128,0.000000,0.037233,0.001126,0.612164,0.636552,0.003852,0.167829,0.158234,-0.001103,-0.000067,0.800947,0.000352,0.001745
1.172000,0.337999,0.000044,0.593700,1.999991,0.000260,0.000000,0.000128,0.000000,0.043762,0.001165,0.613922,0.682253,0.004007,0.183195,0.166121,-0.001099,-0.000056,0.790353,0.000318,-0.002709
1.182000,0.357999,0.000046,0.593700,1.999992,0.000259,0.000000,0.000128,0.000000,0.050992,0.001198,0.615688,0.751126,0.003241,0.178085,0.174149,-0.001095,-0.000060,0.801842,0.000673,0.001875
1.192000,0.377999,0.000049,0.593700,1.999992,0.000260,0.000000,0.000128,0.000000,0.058599,0.001244,0.617645,0.788338,0.004090,0.193505,0.181809,-0.001090,-0.000060,0.768926,0.000333,-0.001907
1.202000,0.397999,0.000051,0.593700,1.999993,0.000259,0.000000,0.000128,0.000000,0.066799,0.001279,0.619434,0.843500,0.003306,0.182128,0.189554,-0.001086,-0.000052,0.773105,0.000688,0.000775
1.212000,0.417999,0.000054,0.593700,1.999994,0.000259,0.000000,0.000128,0.000000,0.075269,0.001319,0.621402,0.871483,0.003464,0.187490,0.197005,-0.001080,-0.000055,0.750436,0.000501,-0.001247
1.222000,0.437999,0.000057,0.593700,1.999994,0.000259,0.000000,0.000128,0.000000,0.084094,0.001349,0.623128,0.906084,0.002800,0.173561,0.204528,-0.001074,-0.000044,0.752230,0.000654,0.000290
1.232000,0.457999,0.000059,0.593700,1.999995,0.000259,0.000000,0.000128,0.000000,0.093622,0.001377,0.624968,0.961079,0.002413,0.172006,0.212260,-0.001067,-0.000049,0.759432,0.000679,0.000606
1.242000,0.477999,0.000062,0.593700,1.999994,0.000259,0.000000,0.000128,0.000000,0.103311,0.001395,0.626610,0.991683,0.001356,0.162412,0.219905,-0.001060,-0.000036,0.768006,0.001060,0.000055
1.252000,0.497999,0.000064,0.593700,1.999995,0.000259,0.000000,0.000128,0.000000,0.113386,0.001414,0.628248,1.028367,0.001316,0.154970,0.227645,-0.001050,-0.000036,0.778583,0.001000,0.001363
1.262000,0.517999,0.000067,0.593700,1.999995,0.000259,0.000000,0.000128,0.000000,0.123875,0.001422,0.629814,1.070348,0.000388,0.154474,0.235591,-0.001039,-0.000026,0.795480,0.001349,-0.001293
1.272000,0.537999,0.000070,0.593700,1.999995,0.000259,0.000000,0.000128,0.000000,0.134804,0.001432,0.631254,1.113834,0.000531,0.142826,0.243620,-0.001026,-0.000020,0.805777,0.001358,0.000510
