time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pwx,Pwy,Pwz,Vwx,Vwy,Vwz
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,0.000128,0.000000,-0.000126,0.000758,0.596303,-0.005093,0.000948,0.013624,0.008335,-0.001132,0.000006,-0.004268,-0.000104,-0.000000
1.010000,0.007000,0.000001,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,-0.000150,0.000768,0.596469,-0.024371,0.001059,0.026356,0.008641,-0.001133,0.000004,0.071845,-0.000086,-0.000286
1.020000,0.017000,0.000002,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.000668,0.000774,0.596766,0.021253,0.000656,0.033193,0.012219,-0.001133,-0.000001,0.352105,0.000143,0.000663
1.030000,0.027000,0.000003,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.000943,0.000781,0.597107,0.023855,0.000740,0.036335,0.017020,-0.001133,-0.000002,0.506966,0.000088,0.000643
1.040000,0.037000,0.000005,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.001572,0.000806,0.597493,0.073723,0.001711,0.042216,0.022913,-0.001133,-0.000000,0.594442,-0.000013,-0.001659
1.050000,0.047000,0.000006,0.593700,1.000000,0.000128,0.000000,0.000128,0.000000,0.002710,0.000820,0.597900,0.132237,0.001517,0.035708,0.029278,-0.001133,-0.000007,0.639619,0.000055,0.000869
1.060000,0.057000,0.000007,0.593700,0.999999,0.000128,0.000000,0.000128,0.000000,0.005477,0.000842,0.598199,0.273144,0.001908,0.037351,0.036540,-0.001133,0.000002,0.673794,0.000010,-0.002064
1.070000,0.067000,0.000009,0.593700,0.999999,0.000128,0.000000,0.000128,0.000000,0.007932,0.000855,0.598681,0.284299,0.001285,0.038826,0.042757,-0.001133,-0.000011,0.635109,0.000172,-0.001714
1.080000,0.077000,0.000010,0.593700,0.999999,0.000128,0.000000,0.000128,0.000000,0.010781,0.000868,0.598868,0.322589,0.001294,0.024128,0.048926,-0.001132,-0.000003,0.615994,0.000128,0.000821
1.090000,0.087000,0.000011,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.014123,0.000881,0.599200,0.367961,0.001315,0.031188,0.054915,-0.001131,-0.000004,0.600692,0.000094,-0.001923
1.100000,0.097000,0.000012,0.593700,0.999999,0.000128,0.000000,0.000128,0.000000,0.018621,0.000893,0.599421,0.479782,0.001599,0.017947,0.061374,-0.001129,-0.000007,0.669721,-0.000034,0.002242
1.110000,0.107000,0.000014,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.023311,0.000898,0.599661,0.519309,0.000177,0.023709,0.066992,-0.001128,-0.000002,0.562830,0.000004,-0.000418
1.120000,0.117000,0.000015,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.028372,0.000897,0.599911,0.542878,-0.000019,0.021105,0.072353,-0.001126,-0.000003,0.541809,0.000155,-0.000807
1.130000,0.127000,0.000016,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.034396,0.000902,0.600048,0.627002,0.000743,0.011904,0.078059,-0.001126,-0.000004,0.554633,0.000171,0.001650
1.140000,0.137000,0.000018,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.040467,0.000914,0.600181,0.644379,0.000875,0.013995,0.083165,-0.001125,0.000003,0.522575,0.000121,-0.001069
1.150000,0.147000,0.000019,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.046954,0.000918,0.600313,0.680512,0.000457,0.012998,0.088363,-0.001123,0.000003,0.522942,0.000167,-0.001434
1.162000,0.159000,0.000020,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.055947,0.000923,0.600420,0.780602,0.000682,0.002703,0.095115,-0.001121,-0.000003,0.556361,0.000123,0.001886
1.172000,0.169000,0.000022,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.063600,0.000933,0.600365,0.802049,0.000769,-0.000686,0.100317,-0.001120,0.000009,0.529338,0.000165,0.000293
1.182000,0.179000,0.000023,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.071681,0.000938,0.600436,0.835940,0.000463,0.002734,0.105650,-0.001118,0.000004,0.540021,0.000221,-0.000514
1.192000,0.189000,0.000024,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.080216,0.000942,0.600402,0.877601,0.000461,-0.002805,0.111227,-0.001116,0.000007,0.564686,0.000180,0.000175
1.202000,0.199000,0.000026,0.593700,0.999999,0.000129,0.000000,0.000128,0.000000,0.089218,0.000943,0.600364,0.925690,0.000397,-0.002847,0.117056,-0.001114,0.000009,0.585354,0.000177,-0.000842
