time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pwx,Pwy,Pwz,Vwx,Vwy,Vwz
1.000000,0.000000,0.000000,0.593700,0.000000,0.000000,0.000000,0.000059,0.000000,-0.000612,0.000660,0.596224,-0.003380,0.001139,0.013598,0.006399,-0.001178,0.000006,-0.003037,-0.000126,-0.000000
1.010000,0.003500,0.000000,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,-0.000578,0.000672,0.596359,0.000852,0.001185,0.015575,0.006570,-0.001179,0.000005,0.039756,-0.000112,0.000051
1.020000,0.008500,0.000000,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,-0.000372,0.000684,0.596517,0.013844,0.001288,0.016478,0.008264,-0.001181,0.000005,0.193269,-0.000113,0.000074
1.030000,0.013500,0.000001,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,0.000182,0.000697,0.596671,0.060789,0.001353,0.014728,0.011143,-0.001182,0.000004,0.297546,-0.000114,0.000371
1.040000,0.018500,0.000001,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,0.001219,0.000710,0.596821,0.119156,0.001422,0.012266,0.014707,-0.001183,0.000002,0.360498,-0.000123,0.000701
1.050000,0.023500,0.000001,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,0.002793,0.000725,0.596954,0.181538,0.001434,0.013784,0.018538,-0.001184,0.000006,0.382679,-0.000109,-0.001129
1.060000,0.028500,0.000002,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,0.004896,0.000738,0.597108,0.238671,0.001336,0.009644,0.022414,-0.001185,0.000001,0.387083,-0.000079,-0.000012
1.070000,0.033500,0.000002,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,0.007534,0.000753,0.597142,0.291422,0.001484,0.005316,0.026264,-0.001186,0.000005,0.384288,-0.000140,0.000087
1.080000,0.038500,0.000002,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,0.010654,0.000768,0.597143,0.339985,0.001504,0.002558,0.029980,-0.001187,0.000008,0.367609,-0.000112,0.000260
1.090000,0.043500,0.000003,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,0.014199,0.000783,0.597224,0.380021,0.001538,0.006917,0.033478,-0.001189,0.000006,0.348073,-0.000107,-0.001358
1.100000,0.048500,0.000003,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,0.018110,0.000798,0.597299,0.413304,0.001475,0.002182,0.036831,-0.001190,0.000001,0.335086,-0.000114,0.000163
1.110000,0.053500,0.000003,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,0.022698,0.000818,0.597283,0.462710,0.001935,-0.000595,0.040349,-0.001191,0.000004,0.332006,-0.000293,0.000474
1.120000,0.058500,0.000003,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,0.027181,0.000835,0.597250,0.466235,0.001556,-0.002285,0.043422,-0.001193,0.000005,0.311459,-0.000106,0.000916
1.130000,0.063500,0.000004,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,0.031828,0.000848,0.597250,0.476726,0.001255,0.001895,0.046488,-0.001194,0.000007,0.309079,-0.000056,-0.000497
1.140000,0.068500,0.000004,0.593700,0.500000,0.000029,0.000000,0.000059,0.000000,0.036631,0.000860,0.597293,0.489333,0.001047,0.003539,0.049589,-0.001194,0.000004,0.310598,-0.000039,-0.000484
